-0.00681328-0j -0.37636-0.165419j -0.0859456+0.59385j 0.0251812-0.0808702j -0.207072-0.138731j 0.0900105+0.0888964j 0.0745116-0.0910094j 0.0145704-0.139872j 0.0736147-0.0275559j -0.0509123+0.0738697j 0.0109484+0.0180471j -0.0703667-0.0446373j 0.00627321+0.0374298j -0.04826-0.0730129j 0.0118269-0.103259j -0.0296021-0.0363578j 0.0290273+0.0671322j 0.0355834-0.0484011j 0.00808376-0.148517j -0.0821417+0.0801458j 0.0609835+0.114371j -0.00780747-0.164768j 
-0.0703667+0.0446373j -0.0286092+0.00639799j 0.029352-0.00839986j 0.000885792+0.0651809j -0.0541095+0.00594584j 0.0633468+0.051372j -0.0177726+0.0601436j -0.0180169+0.0231641j 0.0313226+0.0413222j -0.159909+0.0563289j 0.179433+0.0359735j -0.32735-2.22045e-16j 0.0209292-0.052837j -0.0180313-0.00770475j 0.097819-0.217504j -0.146972-0.151236j -0.0993864-0.266695j 0.0455444-0.156096j 0.115686+0.293918j -0.0715447-0.0160099j -0.105016-0.102279j -0.0195172+0.0686548j 
0.00627321-0.0374298j 0.0740482+0.0129035j 0.0489321-0.0265472j 0.0172565-0.14236j -0.142145-0.00657678j -0.0619327-0.0292675j 0.0448117-0.105253j -0.0321858+0.0265758j -0.110684-0.0792962j 0.151789-0.192171j 0.111959-0.119392j 0.0209292+0.052837j -0.187807-5.96745e-16j 0.285836-0.0436849j 0.0347205+0.0372094j -0.0627835-0.0617803j 0.191277+0.0530256j -0.0960751-0.0880287j -0.0826387-0.11149j -0.334774-0.0331739j 0.257216+0.145146j 0.146356-0.248496j 
-0.04826+0.0730129j -0.02257-0.0222217j 0.0680641+0.0240331j -0.0267966+0.100388j 0.0337572-0.0070233j -0.0300196-0.0128097j -0.0292789+0.0632205j -0.00663709+0.0356915j 0.0516776-0.0282649j -0.0105734+0.0694804j 0.0654553-0.0865148j -0.0180313+0.00770475j 0.285836+0.0436849j 0.0399272-3.05311e-16j 0.0820713+0.179744j 0.192929+0.196093j 0.20964+0.177852j 0.214158+0.170761j -0.0614194-0.251648j -0.219421+0.196402j -0.121993+0.0656082j -0.0208095+0.0924821j 
0.0118269+0.103259j -0.0329111+0.0143945j -0.00302987-0.0482835j -0.0152457+0.0951647j 0.00011663-0.0479795j 0.0491684-0.0365079j 0.00691914+0.0425225j 0.016634+0.0298001j 0.0676903+0.0338967j -0.134694+0.0294175j -0.0914885+0.0936551j 0.097819+0.217504j 0.0347205-0.0372094j 0.0820713-0.179744j -0.0265683-1.6636e-15j 0.0849379-0.00365498j -0.0769294+0.0649188j -0.173309+0.0220715j -0.105073-0.0907972j 0.0122449-0.0499448j -0.0320684+0.159809j -0.0436003-0.174625j 
-0.0296021+0.0363578j -0.0271553+0.00350494j -0.00405624+0.0107934j -0.0088009+0.161009j 0.0686074-0.0750593j 0.0263297-0.0346251j -0.0156886+0.0444619j -0.0377179+0.0172225j -0.025233-0.102844j 0.0295601-0.0421181j 0.307677+0.196136j -0.146972+0.151236j -0.0627835+0.0617803j 0.192929-0.196093j 0.0849379+0.00365498j 0.0416063-1.3739e-15j 0.149088-0.110611j -0.0735823+0.0177648j -0.152818+0.100181j -0.202924-0.107656j -0.0183228+0.0772444j 0.0404142+0.0262864j 
0.0290273-0.0671322j -0.050482-0.0838155j -0.0226014-0.0130031j 0.0384922-0.109927j 0.0187279+0.141092j -0.106714+0.0579762j -0.0231078-0.036106j 0.0371436-0.0249277j -0.0867776+0.00703507j 0.129842+0.0618576j 0.0869168+0.0377837j -0.0993864+0.266695j 0.191277-0.0530256j 0.20964-0.177852j -0.0769294-0.0649188j 0.149088+0.110611j 0.206715+5.27356e-16j -0.160455+0.18835j 0.0441826-0.0541009j -0.0229555+0.0200223j 0.0678779-0.0490042j 0.0482319+0.144877j 
0.0355834+0.0484011j -0.0900123-0.0309337j 0.0229074+0.00947263j 0.104773+0.117266j 0.122455-0.0508691j 0.040097-0.00890885j 0.0194078+0.0145103j -0.0132915-0.0208397j -0.011082-0.072782j 0.0430985-0.100695j -0.279708-0.115811j 0.0455444+0.156096j -0.0960751+0.0880287j 0.214158-0.170761j -0.173309-0.0220715j -0.0735823-0.0177648j -0.160455-0.18835j -0.30701-7.21645e-16j -0.0183476+0.0778841j 0.0797323+0.0587863j -0.0663885+0.0477924j 0.0513321+0.0287337j 
0.00808376+0.148517j -0.0882565-0.0245629j 0.0244141+0.0278746j 0.165357+0.165721j 0.214767+0.0207552j 0.0229248-0.0412763j -0.0189999+0.0145554j 0.0120786+0.00252178j -0.145975-0.0630017j 0.115299-0.0150255j -0.15118-0.232793j 0.115686-0.293918j -0.0826387+0.11149j -0.0614194+0.251648j -0.105073+0.0907972j -0.152818-0.100181j 0.0441826+0.0541009j -0.0183476-0.0778841j -0.0215486+2.77556e-17j -0.0544998+0.0252205j 0.220756+0.0601509j 0.0200453+0.046798j 
-0.0821417-0.0801458j -0.0161095+0.0383685j 0.00731439+0.00384751j 0.0475152+0.0451546j 0.128282-0.00561104j 0.0661425+0.0206088j 0.00784044-0.00534607j 0.0036232+0.000602529j -0.135991-0.211596j 0.140509-0.0217217j 0.198106+0.469689j -0.0715447+0.0160099j -0.334774+0.0331739j -0.219421-0.196402j 0.0122449+0.0499448j -0.202924+0.107656j -0.0229555-0.0200223j 0.0797323-0.0587863j -0.0544998-0.0252205j 0.115065-3.33067e-16j 0.074691+0.0513527j 0.00445476+0.0371949j 
0.0609835-0.114371j 0.0427535-0.10117j -0.0302583+0.0121854j 0.122793+0.0614578j -0.0474787+0.256764j -0.175574+0.0442263j -0.0107588-0.0155602j 0.081202+0.0545642j -0.203778-0.108621j 0.106361+0.192505j 0.0357097+0.0388887j -0.105016+0.102279j 0.257216-0.145146j -0.121993-0.0656082j -0.0320684-0.159809j -0.0183228-0.0772444j 0.0678779+0.0490042j -0.0663885-0.0477924j 0.220756-0.0601509j 0.074691-0.0513527j 0.173094+2.498e-16j -0.157977-0.0274357j 
-0.00780747+0.164768j -0.0324386-0.0431991j -0.00844997+0.026279j 0.0135136+0.363536j 0.0864611-0.00774501j -0.0736139-0.076077j 0.000441715+0.0976666j 0.0688675+0.0574756j -0.122572-0.378771j 0.156687+0.00729376j -0.0889561-0.0764977j -0.0195172-0.0686548j 0.146356+0.248496j -0.0208095-0.0924821j -0.0436003+0.174625j 0.0404142-0.0262864j 0.0482319-0.144877j 0.0513321-0.0287337j 0.0200453-0.046798j 0.00445476-0.0371949j -0.157977+0.0274357j -0.0610376+4.44089e-16j 
