-0.0713621+0.184388j -0.324929-0.157847j 0.321559-0.692389j 0.0321968-0.0946965j -0.014392+0.0648327j -0.307327+0.575966j 0.28243-0.122579j -0.294907+0.396072j -0.400848+0.644244j -0.7087+0.628658j 0.144586-0.0573044j 0.90612-1.39709j 0.332183-0.261336j -0.00910225-0.30259j 0.194204-0.453187j 1.24697-1.59605j -0.930669+1.16086j 1.18829-1.58709j -0.85697+1.30941j -0.177511-0.302949j 0.3325-0.160739j -1.37301+1.95677j 1.09456-1.58027j 0.46671-0.932424j 0.825825-1.41537j -2.04954+2.73203j 0.0282581-0.104446j 0.438092-0.63202j 0.136334-0.0742422j 1.07787-1.23195j -0.727604+0.846465j 1.43184-1.4647j -1.72025+1.39455j -0.741742+0.978519j -0.866853-1.5536j 0.988011-0.935101j -0.628354+0.686151j 1.76254-1.30458j -1.91343+1.65171j -0.831879+1.02636j -1.63074+1.66506j -0.301515+0.345099j 0.491966-0.455209j 0.652537-0.577117j -3.20026+3.10496j 0.973358-0.960761j -0.521962+1.02257j 1.56366-1.60037j -1.50342+1.82456j -0.291705+0.959905j 0.0207743-0.24895j -0.664097+1.56634j 1.41572-0.935243j -0.653941+1.05757j 1.39775-1.14915j 0.8146-0.0997336j -0.238915-0.366184j -0.0347077+0.0131861j -2.04412+1.14999j -0.0303806-0.198738j 1.47991-1.14917j 1.02647+0.123155j -0.0560123-0.735185j -1.29093+0.333862j 0.510719-0.346682j -0.559905-0.401823j 0.968398+0.781743j 0.283839-0.703245j 1.20573+0.92212j -0.909878+2.46631j 
-0.115915+0.128743j -0.48799-0.420611j 0.148879+0.583584j -0.222634-0.138808j 0.17481+0.165647j -0.667216-1.86171j 0.170996+0.274984j -0.152607-1.26213j -0.736213-2.0711j -1.43774-2.75486j 0.562569+0.529639j 0.58344+3.6158j -0.241715+1.16865j -0.241533+0.0701279j 0.49131+1.31728j 0.811373+4.07246j -0.820405-4.16941j 0.993752+4.63844j -0.368662-3.59571j -0.298868-0.030896j 0.516025+1.47429j -0.896426-5.77012j 0.605871+4.58612j 0.113705+2.68301j 0.361275+3.92994j -1.21087-8.87016j 0.682617+1.39718j 0.424725+1.81954j -0.285337+0.334082j 0.5709+4.79589j -0.140653-3.10767j 0.704524+6.10999j -0.45851-5.44506j -0.173041-2.28873j 4.51722+1.06799j 0.251451+3.74457j -0.146871-2.74367j 0.269967+5.42457j -0.534102-6.25096j -0.147052-3.24074j -0.459549-5.36261j -0.465608-0.195051j -0.0868932+2.181j -0.721465+1.29971j -0.224498-9.64833j -0.153196+3.92014j 0.174537-2.39641j 0.597634+4.68928j -0.582399-6.49084j -0.373484-1.28048j 0.048616+0.026326j -1.09032-3.30029j -0.427612+5.07528j -0.276165-4.18571j 0.0484639+3.94964j -0.848997+1.96209j -0.273748-0.130402j -0.483747+0.0387545j 0.542892-4.40193j 0.136249-0.0838734j 0.29903+2.87426j -0.507534+2.28064j 0.399742+1.17549j -0.000424054-1.41648j 0.0459355+2.33136j -0.00261715+0.128221j 0.264957-0.839352j 2.08034-0.680552j 0.138403+0.563364j 1.53831-0.30679j 
-0.227854+0.224163j -0.0351136-0.293946j -1.10598+0.961315j 0.144818+0.0865475j 0.0209104-0.0842369j 2.39979-1.9369j -0.304391+0.458284j 1.55457-1.5053j 2.47562-2.32977j 3.319-2.73795j -0.475085+0.304952j -4.5702+4.62548j -2.02098+1.67604j -0.0890653+0.0938253j -1.5349+1.25575j -5.70524+5.18217j 5.56479-4.45717j -6.03649+5.40135j 5.23691-4.09663j 0.687596+0.0709388j -2.27201+1.39794j 8.35601-6.63793j -6.52257+5.44088j -3.53186+2.88245j -5.43108+4.567j 12.7273-10.8149j -1.69466+1.91364j -2.76547+2.37191j -0.54362+0.235948j -7.21883+5.4968j 4.43019-3.19439j -8.02278+6.92477j 7.47121-6.14286j 3.96156-3.37166j 3.16846+6.2807j -5.19418+3.99857j 4.28734-2.88793j -7.5618+6.89555j 8.33497-6.52504j 4.21155-3.16914j 6.78115-5.2527j 0.168731-0.441001j -3.08722+1.76987j -1.72772+1.28129j 13.8831-9.31811j -5.52562+4.58795j 3.14075-2.93487j -7.34981+5.16983j 9.46111-6.35653j 2.96831-2.15185j -0.247592+0.546466j 5.22455-4.33624j -6.76663+4.96105j 6.28826-4.82332j -7.31276+4.9141j -2.28881+1.35087j 0.813837+0.0915647j -0.86274+0.968835j 5.40433-4.35743j -0.219009-0.00896599j -5.15017+2.5282j -3.97557+1.44022j -1.48495+0.976544j 0.704797-0.621466j -3.75257+1.75988j 1.8186-0.227133j 0.256866-0.586312j 2.55529-2.03398j -0.144753+0.21715j -0.292424-0.079833j 
0.120247-0.0599242j 0.0352778-1.18786j -2.24962+3.94426j 0.386806-0.0329632j 0.085364+0.502749j 3.55711-7.95332j -0.406819+1.46227j 3.15274-5.99968j 3.63328-8.43246j 5.4061-12.1851j -0.495637+1.96172j -8.58765+17.3052j -4.27911+6.15969j 0.194938+0.747564j -2.49935+5.67371j -10.325+20.637j 10.2094-18.9675j -11.3263+22.6017j 8.92513-17.034j 0.75634-0.87924j -4.52822+7.03968j 14.8479-27.98j -11.7753+22.5271j -6.49597+12.0719j -10.0308+18.688j 22.8483-42.5539j -3.60396+6.10359j -4.93817+9.3883j -0.455319+1.20068j -11.8467+22.502j 7.90315-12.951j -15.1436+27.909j 14.464-25.3888j 6.37602-12.5177j 16.4117+14.7854j -10.2833+16.871j 7.84898-12.5945j -15.6774+26.8707j 16.3626-27.9731j 7.16-12.418j 13.4588-22.7731j 0.63569-1.86196j -5.80362+8.82917j -3.36798+6.72116j 26.2635-42.4045j -11.4185+18.0217j 7.6318-12.1303j -13.3553+22.8466j 17.7825-27.5449j 4.07781-7.26428j -0.197275+0.394937j 9.90007-16.6052j -14.0154+22.2774j 11.8565-19.0703j -13.1554+21.3636j -4.11827+5.41977j 1.10519-0.788177j -2.9454+6.0451j 10.9513-17.2451j -2.55566+1.17564j -9.2001+12.0207j -5.34641+9.91344j -4.51166+6.17394j 2.74205-1.54442j -4.05854+7.70525j -0.933569+1.07622j 0.237546+1.42351j 1.91841-3.49589j -0.26421+0.0111017j -0.525966+0.555594j 
0.195417-0.199494j 0.192753-0.314695j 0.411102+1.19269j 0.314006-0.282757j -0.00455083+0.440903j -0.887412-2.60319j 0.502428+0.0968333j -0.554188-1.91523j -1.05084-2.17745j -1.40211-4.19561j 0.288805+0.816003j 2.06122+5.17461j 0.352484+1.67245j 0.41581-0.101821j 0.56977+1.6893j 2.39964+6.44268j -1.36114-5.66003j 2.19224+7.44981j -1.12477-5.19171j -0.380397-0.382793j 0.651797+2.43356j -2.37597-8.71982j 1.99489+7.06337j 1.00754+3.49731j 1.69521+5.36979j -3.78552-14.1751j 0.329326+2.2067j 1.05412+2.84459j 0.0618436+0.433345j 2.16358+6.83849j -1.14284-4.4363j 2.52167+8.94874j -2.72937-7.99222j -1.22893-3.87108j 6.5146-0.075632j 1.86483+5.26573j -1.2811-4.5404j 2.31475+8.48161j -2.25-8.053j -1.0489-4.34598j -1.76705-7.3592j 0.201609+0.262092j 0.8152+3.67702j 0.0995495+1.3111j -2.79335-13.198j 1.4461+5.5554j -0.181618-3.67168j 1.76371+6.09262j -2.62848-9.02009j 0.119274-2.74513j -0.0908468+0.881617j -0.89019-4.72991j 1.97877+7.69947j -1.88178-6.61696j 0.0379514+7.0906j -0.046451+1.25079j 0.361299+0.364037j -0.189997+1.54466j -1.00959-5.23304j -0.302471+0.0847174j 1.11353+4.14185j 1.45177+2.68185j -0.422479+2.56604j -0.558586+1.05177j 0.37905+3.60189j 0.87394+0.862176j -1.0548+0.133593j 0.719754-0.621652j 0.16663+1.11321j -0.196069-0.0407307j 
0.251308-0.255252j 0.276073-1.11322j -2.01688+3.9891j 0.255163-0.577694j 0.0207189+0.573245j 3.15487-8.55419j -0.252664+1.33738j 2.598-6.12761j 3.35017-8.60106j 4.77469-12.3761j -0.481428+2.16624j -7.44565+17.4199j -3.45757+5.98628j 0.0407182+0.515491j -2.57252+5.84692j -8.90162+21.6152j 8.56542-19.4741j -9.60405+23.1321j 7.45083-17.3906j 1.13016-0.943423j -3.16784+6.85189j 12.5369-28.5189j -10.1616+22.3783j -5.09327+11.9799j -8.38641+19.0394j 19.1743-43.0308j -3.03763+6.06465j -4.17151+9.4074j -0.438806+1.16871j -11.2394+22.8285j 6.67197-13.664j -13.2997+28.0502j 12.6465-26.9517j 5.93304-12.5664j 17.1801+13.7822j -9.02508+17.3445j 7.37681-12.1005j -12.8474+27.4248j 14.0335-28.6729j 6.36636-14.1719j 10.4965-22.7733j 0.200892-0.983451j -5.17677+8.86085j -3.62349+6.41324j 21.5805-43.7416j -9.34473+19.9056j 6.43557-12.0939j -10.9182+22.3865j 14.4723-29.1672j 3.21856-6.99632j -0.758545+0.626976j 8.87308-17.1513j -11.175+22.0928j 9.10367-20.2246j -12.1979+21.0388j -2.43387+5.85808j -0.0512415-0.776755j -1.92677+6.00705j 8.94798-18.2589j -1.06996+1.78255j -6.48871+11.9532j -6.39469+9.26412j -2.34839+6.5921j 1.09739+0.871162j -5.14886+7.47086j 0.726677-0.544952j 1.68963+0.87542j 1.19383-3.89665j -0.093277+0.949044j -0.445344+0.292939j 
0.0644085-0.0603457j 0.106483-0.954513j -0.693719+3.34186j 0.284811-0.580031j -0.482246+0.263872j 0.980267-6.68256j 0.149146+1.08403j 0.943745-5.27072j 0.670328-6.91821j 1.25482-10.4864j -0.0787667+1.77143j -2.01267+14.7266j -1.33515+5.11962j -0.227363-0.00479772j -0.286956+4.75357j -2.56989+17.4575j 2.75616-15.9321j -2.81028+18.5057j 2.83775-14.7622j -0.0622949-1.25295j -1.60035+5.39768j 4.35755-23.7015j -3.46186+18.8352j -2.15474+10.7628j -2.70863+16.0494j 6.76437-36.434j -0.972935+5.19663j -1.53419+8.03435j 0.057824+1.12539j -2.60676+19.2513j 2.04441-10.8027j -4.69456+23.2342j 4.48308-22.6784j 1.73063-9.6274j 15.0115+6.95199j -3.47073+14.7199j 1.84784-10.6054j -5.24381+22.5352j 4.84531-23.6002j 2.91998-11.5307j 3.55383-18.8011j 0.7124-1.53405j -1.85656+7.26035j -0.883136+5.13266j 7.60361-35.9777j -4.11829+15.4825j 2.48631-10.1701j -4.43231+19.0161j 4.92088-24.4581j 1.49776-6.03174j 0.415241+0.297182j 3.68196-14.5235j -4.14112+18.433j 2.56536-16.3039j -4.53958+17.7559j -2.16274+4.90899j 0.399746+0.41468j 0.0708437+6.21782j 2.73892-13.7681j -1.20163+3.4351j -2.53744+10.3532j -2.40336+8.14217j 1.54858+5.21682j -0.0250184-1.27453j -1.67833+7.1132j -0.320922-0.418289j -0.454207-0.259384j 0.30545-2.93354j -0.156007+0.92766j -0.117695-0.152717j 
0.373871-0.444744j 0.630818-2.715j -2.71118+9.07044j 0.468157-1.58777j -0.468495+0.810008j 4.30009-18.6061j -0.553878+3.03919j 3.50097-14.1706j 3.74455-19.7349j 6.23852-27.766j -0.751738+4.66893j -8.99429+39.5851j -4.53162+13.9185j -0.229622+1.31954j -2.70001+12.8848j -11.547+47.8075j 11.4353-44.0125j -12.3462+52.3356j 9.88068-39.1389j 0.469283-2.09765j -4.69598+15.5708j 16.6115-64.5965j -12.7203+50.72j -7.20012+27.9886j -11.1403+43.581j 25.8365-97.7787j -3.57869+14.6033j -5.53084+21.1703j -0.651841+3.41914j -13.7503+51.9497j 8.82967-30.2059j -16.6554+64.9253j 17.1364-61.217j 7.7363-28.9344j 41.1497+22.5724j -11.765+39.9308j 8.30196-28.5768j -16.6621+60.8647j 17.275-63.8065j 7.40055-30.4765j 14.5459-52.2562j 0.297561-2.86867j -5.64012+21.7275j -3.49721+14.7335j 28.0014-98.3304j -11.8805+42.2246j 7.79023-28.7166j -14.239+50.4327j 18.9605-64.1182j 3.72376-15.9399j -0.298431+1.39684j 12.3718-39.3519j -14.7182+50.9542j 13.5454-44.6513j -12.5196+47.2272j -4.7559+13.8325j 1.40973-0.373178j -3.88858+13.8819j 12.7228-38.2291j -2.59185+4.73579j -9.33752+27.8796j -7.65945+18.9807j -4.7778+13.5974j 2.11599-3.148j -7.54956+19.3671j -0.119885-0.983288j 0.401912+1.49933j 2.11806-9.04612j -0.285371+2.34666j -0.529039-0.464422j 
-0.0294345+0.180955j -0.29101+1.56587j 0.922239-5.4349j -0.0872571+0.553082j 0.100084-0.527335j -1.95099+10.5912j 0.137287-1.68389j -1.74092+8.07946j -1.51213+11.4306j -2.56559+16.1515j 0.399491-2.76591j 3.91973-22.8223j 1.60527-7.72173j 0.165306-0.366871j 1.53944-7.50713j 5.28934-27.2883j -4.8924+25.1483j 5.97054-29.2802j -5.02888+23.2219j -0.813496+0.900237j 1.71503-9.27709j -8.27036+37.6663j 6.29879-29.2884j 2.69165-15.6879j 5.44493-24.849j -10.8504+57.142j 1.81653-8.08377j 2.42912-11.7434j 0.460032-1.96736j 6.71526-29.6133j -3.64764+18.0149j 7.17961-36.5424j -6.83691+35.7588j -2.16153+16.5634j -24.1898-11.3344j 4.99189-22.6031j -3.66441+16.2915j 6.65486-35.1223j -7.9595+37.2981j -2.81572+17.5037j -6.67451+30.0486j -0.6661+2.01898j 4.01861-12.4945j 1.93812-8.54406j -11.8372+56.727j 5.87456-24.53j -4.40985+16.607j 6.53205-29.969j -8.42673+36.2071j -2.33705+8.43858j -1.09727-2.04316j -4.37197+22.0433j 6.6899-29.0868j -5.31801+25.4603j 5.85429-27.3536j 1.6771-6.57436j 0.0367115-0.149368j 0.674247-8.51867j -5.65804+21.3801j 0.816377-2.9724j 4.67498-16.4208j 3.87401-11.3638j 1.69016-8.31196j -0.380514+2.48663j 2.61288-9.6958j -0.488689-0.0324753j -0.420624-1.23035j -0.476313+5.33365j 0.309537-1.15045j 0.0023077+0.0769405j 
0.0926925+0.0247925j 0.00676452-0.815235j -0.247817+2.81707j -0.0297795-0.35861j -0.0379761-0.198147j 0.0873866-5.74992j 0.172852+0.709595j 0.418383-4.23418j 0.0855394-5.74754j 0.716975-9.23101j -0.0667267+1.6152j -0.753412+12.1304j -0.154257+4.22473j -0.199924+0.0987278j -0.480845+4.35034j -0.793304+15.1818j 0.931185-13.9183j -0.679581+15.1616j 0.256123-12.3731j -0.105032-1.14601j -0.351513+4.74146j 0.954532-19.308j -0.525093+15.8467j -0.604556+9.58393j -0.684378+13.4529j 2.56237-29.7549j -0.688912+4.48698j -0.791768+6.81111j 0.316493+0.586417j -0.888545+15.4302j 1.38096-8.78286j -0.474368+19.402j 1.51701-19.1674j -0.273283-8.46662j 13.3244+3.52189j -0.456996+12.3653j 1.07694-8.64087j -0.584299+18.8334j 1.72413-19.4443j 0.700111-9.75547j 1.67418-15.3949j -0.126211-0.290385j -0.86495+7.59105j -1.19642+5.3221j 2.27334-29.6487j -2.44532+13.1758j -0.984075-8.82137j -0.936032+15.6953j 0.959271-18.5945j 0.940705-5.664j 0.444336+0.375918j 0.386753-12.1692j -0.255097+16.2142j 1.21733-12.7896j -1.17211+14.7446j 0.192493+3.47731j -0.149555-0.800258j 0.00531367+3.40036j 0.958161-12.5325j 0.929729+1.65072j -1.3754+8.71608j -0.342541+6.32156j -0.890695+6.12827j 0.739492-1.21605j -0.867959+6.36015j -0.23207-0.210375j -0.168764+0.27804j 0.118834-3.00596j -0.021529+0.84219j -0.0762314-0.0311567j 
-0.262936+0.488134j -0.501243+0.742121j 1.10548-1.50942j -0.103564+0.698258j -0.405215-0.478153j -1.87466+4.0377j 0.569511-0.328684j -1.31809+2.79766j -2.60147+3.96023j -1.94019+5.48167j 0.401965-0.817245j 4.11201-7.4174j 0.948151-2.84714j 0.323461+0.175374j 1.40835-2.73673j 4.69845-9.15689j -4.47353+8.78393j 5.03703-9.59169j -3.85145+7.28019j -0.294282-0.00782172j 1.37375-2.68799j -6.42563+12.7826j 5.10243-10.4153j 2.56264-6.02699j 3.94679-8.98481j -9.6036+19.0402j 0.258789-2.98988j 2.84281-4.19072j -0.372624-0.567213j 4.90051-10.5774j -3.64368+5.91266j 5.41627-12.0862j -5.75506+11.7574j -3.43149+6.429j -7.05176-6.344j 4.08931-8.78576j -3.1961+6.62177j 5.23403-12.5912j -5.37051+12.54j -2.77848+5.36957j -4.73004+9.62403j -0.591647+0.203069j 1.89955-4.08241j 1.17476-3.00949j -9.80219+18.991j 4.51121-8.67654j -2.97897+5.25224j 5.30634-10.8159j -6.82794+13.1176j -1.2188+2.26128j -0.928094-0.293227j -3.41642+6.50627j 5.28691-11.4053j -3.85436+8.80064j 5.03325-8.63097j 0.360986-2.96508j -0.288533-0.845497j 1.15375-2.24761j -3.68591+7.2794j 0.368003-1.29024j 3.78336-6.29511j 1.94691-3.91023j 0.907037-2.45699j -0.491003+1.12161j 1.12851-3.43115j 0.461316+1.02852j 0.0341854-0.553483j -1.85386+1.83921j 0.106378-0.553474j 0.0794708+0.439151j 
