-0.0193528-0.0944858j -0.00857711+0.805835j -0.208342-0.533623j -0.266147-2.56653j 0.0970971+1.17773j -0.232426-3.94973j -0.357001+0.340657j 0.0490913-6.71897j 0.0372991-1.26985j 0.069365-0.610454j -0.0916369+7.3647j -0.0305703+0.249522j 0.302243-9.75294j 0.119067-2.47174j -0.403306+7.42523j -0.237313+5.55291j 0.012609+1.40773j -0.317023+4.63057j 0.298235-5.32956j 1.16753-14.1397j 0.390839-3.24343j 0.538493-4.79273j 0.775522-6.83954j -0.103482-0.126876j -0.654734+5.55517j -0.767051+7.54187j 0.891486-5.41489j 1.2101-9.96276j 0.162224+0.918695j 0.727024-8.40942j 0.410807-3.47338j 0.38581-5.7646j 0.15114-1.9739j -0.50416+1.32715j 0.606171-4.59227j 0.56997-0.269584j 0.0684962+1.18678j 0.113484-2.24992j 0.496932-0.817109j -1.65854-0.341084j 0.963975-0.732835j 1.70449-0.941621j -0.730244-0.927146j -1.28783+2.43748j 3.60388-1.70693j -7.37756+2.21558j 1.45242-0.888709j -8.89914+2.7883j -11.5726+3.5258j 3.45718-0.99918j -15.1919+4.43925j 9.95488-2.91234j -6.49133+1.7401j -13.3799+3.51396j -5.03225+1.29329j 29.0216-7.49249j 22.1438-5.72181j -0.225853+0.0348146j -7.03562+1.63038j -2.08955+0.439253j 9.10549-2.07154j 30.5705-7.09305j 4.1228-0.807263j -26.1579+5.95916j 1.04444-0.126136j 23.9276-5.02364j -8.26365+1.83753j 2.1351-0.679748j 22.707-4.69585j -2.084+0.403192j 31.7729-6.51541j -1.10728+0.325843j 7.36849-2.03423j 7.73142-1.76211j 2.17126-0.21219j 14.4067-3.36568j -27.4318+5.27419j 4.14701-0.898773j 13.0094-2.26984j 7.89609-1.34444j 7.10621-1.46738j -13.7512+0.954712j -0.660163-0.202619j -6.18754+0.695009j -10.2564+0.386982j -0.968531+1.05528j 7.19197-0.286221j 1.64333+0.0648444j 3.25628-1.1571j 3.1297-2.31093j -1.52539+0.387574j -2.80974-3.11163j 
-0.477649+0.375004j 3.14937-1.15975j -2.29591+0.96448j -6.04632+4.5415j 2.05513-1.85443j -7.47082+7.51937j 1.40464-1.27794j -9.71404+13.5004j -1.88634+2.77065j -0.626838+1.03689j 7.96021-14.4661j 0.161748-0.218811j -6.66394+19.6407j -0.656734+5.92344j 2.18113-14.658j 1.36556-10.8764j -0.158373-3.55873j -0.452736-9.21391j 0.119705+11.0647j 5.25908+28.0324j 1.3495+6.21942j 6.3349+9.54626j 5.63196+12.9339j -2.63168+0.275564j -3.92796-10.425j -8.31329-14.3784j 9.99354+9.99296j 16.4465+19.0444j -0.492365-1.40263j 15.9628+16.1383j 8.32714+6.6869j 15.6549+11.6319j 4.33343+3.71245j -9.85171-2.21185j 17.2716+9.0673j 8.12023-0.250519j -3.54939-1.12828j 7.00546+4.88421j 34.461+0.751407j -14.4152-0.144773j -12.4097+1.3379j 55.993+3.74793j -46.5918-1.01288j -15.0133+0.76866j 115.478+0.823j -229.496-3.50251j 54.2012-1.3368j -277.442-4.5761j -371.088-3.63675j 111.273+1.16096j -465.454-8.91746j 315.653+5.04813j -199.713-3.84286j -412.805-5.91127j -161.419-2.01998j 904.626+14.9088j 691.575+11.8071j -8.04427+0.425978j -224.964-3.77121j -59.1045-0.948539j 280.685+4.5213j 952.899+15.1669j 118.166+0.819683j -820.639-13.6875j 20.5043-0.442364j 742.43+11.8006j -266.898-3.67516j 72.1117+2.21201j 709.756+10.3303j -65.4839+0.48414j 1004.66+16.0886j -36.844-0.898006j 222.698+5.12489j 246.078+2.88878j 69.9074+1.67063j 474.298+8.66026j -897.331-13.467j 143.321+3.07126j 438.197+7.40578j 262.854+3.44692j 246.518+4.28941j -444.672-4.37625j -39.3158-2.18901j -202.391-5.19254j -334.661-5.25013j -30.348-1.68803j 222.199+3.33079j 75.2119+1.83682j 111.047+2.5966j 65.4118+1.34705j -40.0369+1.53229j 4.28637+1.28794j 
2.14598+0.0686801j -10.5135+0.622926j 6.59181-0.118654j 20.0753-1.61203j -7.38097+0.788141j 25.1579-2.50239j -5.15055+0.0201345j 32.3878-4.13689j 6.49689-0.784053j 1.84405-0.0832581j -25.5312+4.64121j -0.417578+0.253801j 20.439-6.2978j 0.641523-1.85997j -6.11256+4.95184j -3.66556+3.45882j -0.031686+1.09836j 2.1925+3.2665j -0.870848-3.75343j -20.0843-9.67584j -4.55352-2.3833j -21.4046-3.69358j -19.9558-4.58723j 8.40181+0.30258j 15.1387+3.99363j 29.5389+5.23518j -35.6178-3.36945j -58.2028-7.19111j 2.36394+0.715853j -55.261-6.35463j -30.8958-2.56979j -53.4424-4.42159j -15.1079-1.45473j 32.0745+1.7578j -58.4307-3.69475j -28.1904+1.09438j 11.4593+1.86133j -23.5848-3.0626j -117.182-1.70903j 51.9353-1.41566j 49.482+0.0550166j -193.186-4.93577j 158.796-1.73167j 56.1332-0.581656j -398.398+4.07985j 791.229-1.8828j -186.68+5.33829j 956.672-1.37468j 1281.68-8.2343j -384.789+2.39749j 1602.93+3.40275j -1088.01+0.790139j 688.403+2.6917j 1422.4-1.54863j 558.069-1.11164j -3117.16-3.81239j -2383.64-2.83993j 28.017-1.08302j 774.085+2.58547j 203.435-2.52829j -966.341-0.420368j -3282.44-6.01351j -408.561+1.75461j 2825.1+9.52205j -70.1526+2.15284j -2555.88-8.90141j 918.874+2.91271j -247.58-3.44512j -2442.19-8.31081j 226.692-2.027j -3455.96-18.3371j 126.561+1.27882j -766.709-8.44561j -847.644-3.63099j -238.949-2.49478j -1631.34-11.2461j 3087.89+18.2088j -490.285-4.60507j -1507.67-10.9383j -903.783-4.69082j -846.44-7.87869j 1530.42+6.18969j 134.346+3.2681j 694.995+11.3918j 1149.36+11.6404j 107.77+6.35354j -765.766-8.23933j -258.166-3.50299j -378.908-6.59436j -223.905+3.20569j 131.548+3.61159j -15.7991-1.94415j 
0.229504-0.526927j 0.801462+3.36799j -0.604163-1.86342j -1.53528-10.4039j 0.520527+4.68609j -1.73189-17.0779j 0.0102741+2.39975j -1.84789-29.8071j -0.428494-6.11384j -0.174577-2.21476j 1.2723+31.6373j 0.0215447+0.920689j -0.76047-42.7511j -0.181988-12.1845j -0.200498+31.7126j -0.235743+22.8606j -0.137378+7.33992j -0.636543+19.7579j 0.348811-23.7645j 2.6483-59.7353j 0.835293-13.5997j 1.83081-19.8776j 2.27708-27.831j -0.347542-0.837157j -1.8337+22.9247j -3.16642+30.6394j 2.93632-19.9742j 5.86882-39.8076j 0.617889+3.27654j 5.21441-34.6924j 3.67005-13.6307j 4.65596-24.3089j 1.32563-8.41789j -4.05134+4.51455j 4.63396-19.4996j 2.51535+0.0336753j -0.322559+2.86112j 2.0768-7.77604j 9.02606-3.15317j -3.28771+0.156924j -3.58162-2.65484j 13.6141-4.57679j -11.6684+1.88428j -4.5079+1.84877j 29.9296-6.00525j -58.7817+10.5123j 14.2063-2.82661j -71.029+12.2863j -95.4715+16.2483j 28.2157-4.54244j -118.434+18.6413j 80.6164-12.4958j -50.5802+7.65071j -105.174+15.465j -41.3009+6.55036j 229.853-32.1029j 175.089-24.371j -1.9769+0.347522j -57.3202+6.99353j -15.3474+2.97421j 71.1409-9.47937j 242.006-29.5266j 29.993-3.94976j -207.686+23.8956j 5.57598-1.0228j 188.155-19.7777j -68.1546+7.12484j 18.3529-2.70737j 179.601-17.9054j -16.2158+1.48436j 253.744-23.5455j -9.2794+0.993777j 55.9576-5.99101j 62.039-5.47854j 17.4198-1.56911j 119.743-10.2353j -226.768+17.8665j 36.1565-3.63163j 110.509-8.71484j 66.4465-4.72443j 61.5623-5.70917j -111.13+6.54911j -10.9507+0.575168j -51.08+4.36875j -82.8527+4.61789j -10.1021+1.45857j 55.3597-1.8374j 18.8513-0.211307j 28.5778-0.282387j 16.9203+1.14531j -8.94055+0.188425j 0.78542+0.885721j 
0.00961118+0.0635098j -1.07495-0.0181401j 0.791505-0.00627116j 1.99605+0.00914867j -0.674381+0.248203j 2.56157-0.299487j -0.551615+0.332904j 3.16645-0.793891j 0.855374-0.177959j 0.42563-0.0119325j -2.2158+0.716522j 0.0341913-0.370132j 2.34426-1.07649j 0.381841-0.202587j -0.663792+0.568552j -0.167222+0.676627j -0.390807+0.427895j 0.0548741+0.281636j 0.107857-0.801805j -1.3036-1.26653j -0.731408-0.228482j -1.6743-0.177543j -1.60387-0.86278j 0.58654+0.0721419j 1.12919+0.314309j 2.49531+0.7919j -2.87211-1.2606j -4.87325-1.11595j -0.0531223-0.281563j -5.02636-1.27301j -2.3858+0.534642j -5.24334-0.44767j -1.43567-0.209035j 2.20084+0.757312j -5.66312-0.499185j -2.96977+0.385841j 2.95056+0.0597481j -1.67607+1.68369j -10.1599+0.230514j 5.50328-0.232299j 3.61624+0.0917268j -17.1967-0.481191j 14.5238-0.590996j 4.80213+0.0550836j -35.5851+0.330928j 71.0791-0.0546978j -17.1781+0.688323j 85.936+0.255779j 114.964-0.490218j -34.0625+0.118521j 144.496+0.979254j -97.9424+0.24164j 61.9735+0.337956j 127.645+0.189568j 49.8697-0.44012j -280.369-0.727291j -214.214-0.631237j 2.64788+0.345565j 69.92+0.312416j 18.1725+0.374561j -86.9229-0.569195j -295.386-1.388j -35.9998-0.23687j 253.846+1.23354j -6.36646-0.43263j -229.893-0.71605j 82.8679+0.000291968j -22.1504-0.366153j -219.808-1.14376j 20.4898-0.267268j -310.095-2.20286j 11.2453+0.337967j -68.9736-1.08202j -75.6752-0.0850165j -21.1239-0.760423j -147.555-1.82036j 277.713+2.46344j -44.8447-0.931269j -136.483-1.12009j -81.4575-0.679646j -75.9644-0.936711j 138.973+0.740617j 10.8624+0.840323j 61.6926+0.450839j 102.877+0.35798j 12.2191+0.848638j -68.8764-0.306523j -22.991+3.28319j -34.0928-1.06687j -21.8777+1.12746j 10.9976+1.33417j -0.314919-0.0423246j 
-4.22401+0.874017j 23.1867-5.38243j -14.5522+3.04542j -43.7632+18.801j 15.4779-8.32147j -55.166+29.6822j 12.1299-4.31664j -72.2481+52.9117j -14.3952+10.6374j -3.85621+4.47317j 58.132-57.0557j 1.27722-1.39314j -48.2638+77.1987j -3.46507+23.224j 16.0584-57.4068j 9.9368-42.4539j 0.519762-13.4809j -3.19762-36.1939j -0.185401+42.9298j 38.4674+109.374j 8.59539+24.4518j 44.808+37.5097j 40.7108+51.2924j -19.7442+0.373707j -29.9335-41.3484j -60.1299-56.8775j 76.0957+38.9384j 119.911+75.3919j -4.56998-6.61722j 115.351+65.3613j 64.2514+26.2642j 110.697+47.5721j 32.1856+15.465j -68.4049-12.3997j 124.538+36.8898j 62.0486-1.4417j -25.1277-7.9093j 51.2272+20.6156j 253.265+4.02242j -113.092-2.1603j -102.417+0.54737j 418.288+15.4614j -341.728+2.39j -124.326-1.58806j 862.868-0.977953j -1711.63-9.84947j 404.466-9.964j -2069.9-13.9556j -2772.33-3.10577j 831.861+1.93718j -3469.21-33.4292j 2354.37+14.7367j -1489.2-16.631j -3078.14-17.5643j -1206.63-6.21806j 6744.92+52.2941j 5157.78+41.454j -60.4101+2.73905j -1675.43-13.9982j -441.099+1.03546j 2091.87+13.6758j 7103.69+55.1951j 883.489+2.40266j -6114.67-54.14j 151.482-3.26731j 5531.6+47.7427j -1989.01-15.5319j 536.974+11.0621j 5285.67+42.2996j -489.934+3.63032j 7479.83+71.54j -274.437-3.39407j 1659.39+28.4642j 1834.14+16.2265j 516.187+7.5777j 3531.67+38.8848j -6683.19-65.6331j 1064.1+15.6164j 3263.2+39.6928j 1957.25+17.1937j 1834.62+24.6086j -3313.54-22.4961j -289.004-7.84656j -1505.31-34.0541j -2490.78-32.4433j -230.736-15.4422j 1656.74+19.5095j 555.342+7.72811j 823.943+16.9042j 487.351-5.20367j -287.303-2.26009j 37.6366+2.82383j 
1.00492-0.75171j -4.45971+3.61452j 2.89121-2.13833j 8.3852-12.3669j -3.32672+5.34398j 10.6333-19.551j -2.35822+2.79339j 14.4608-34.9308j 2.89488-7.02194j 0.828022-2.87461j -11.782+37.4124j 0.0828107+0.980559j 10.2385-50.3058j 0.877664-15.0614j -4.09069+36.8284j -2.72428+27.3878j -0.108765+8.84122j -0.256153+22.9691j 0.777434-27.9872j -5.26418-70.5439j -1.21013-16.1623j -7.61783-23.7359j -6.69102-33.0005j 3.86509-0.357436j 4.86988+27.0687j 9.85628+36.4995j -14.0547-25.0652j -20.8932-48.0224j 0.956938+3.91087j -20.5151-41.1476j -12.7828-17.0923j -19.781-28.0862j -5.87641-9.47015j 11.4891+7.00718j -21.964-21.8416j -11.5899+0.152032j 5.01189+7.161j -8.3466-10.6794j -47.6273-2.90923j 22.0075+1.68649j 18.7025-0.066777j -80.1502-6.39728j 65.0707+1.07345j 23.7142+1.79901j -163.902-3.91366j 325.587+10.1946j -76.5023+0.381656j 393.39+12.0464j 526.457+12.7879j -157.803-3.4528j 659.978+20.9736j -448.231-12.3028j 283.468+8.9488j 585.947+15.3511j 229.333+5.82864j -1284.03-34.5027j -981.988-26.6338j 10.9626-0.707817j 319.026+7.99136j 84.2639+2.63462j -398.107-10.264j -1352.01-33.4693j -168.042-3.15472j 1163.43+28.7235j -29.364+0.256287j -1052.98-25.4627j 378.742+8.26997j -101.351-4.64838j -1006.39-21.904j 92.902-0.206962j -1424.78-32.8405j 52.6744+1.21835j -316.586-11.1199j -348.766-7.0857j -98.1922-2.62543j -672.742-15.6233j 1274.03+27.3981j -202.84-6.30756j -621.654-14.3526j -373.017-6.53103j -350.739-8.39648j 630.311+7.64944j 56.1323+0.102553j 286.397+10.1873j 473.372+10.6465j 43.2198+5.90337j -315.84-4.69232j -106.584-3.27505j -155.29-3.99896j -93.5685+1.79394j 55.2169+0.195926j -7.54267-1.22142j 
-3.11135+0.242469j 16.4095-0.933259j -10.3374+0.620209j -31.6187+2.90649j 11.2822-1.2588j -39.4794+4.74028j 8.37995-0.564095j -51.6941+8.57779j -10.2952+1.60992j -3.10168+0.804618j 41.721-9.6934j 1.24854-0.103884j -34.7306+13.4082j -2.38413+4.13707j 11.4803-10.0475j 7.45994-6.99855j 0.448694-2.0114j -2.24901-6.5313j -0.125599+7.20651j 27.0332+19.4942j 5.94134+4.20066j 32.3828+6.76898j 28.6966+8.74544j -13.8493-0.300027j -21.1687-7.53899j -42.0919-10.7104j 53.8375+7.11145j 85.785+13.7531j -2.96085-1.15163j 81.368+14.3593j 45.3572+5.48604j 78.9041+8.73447j 22.1685+2.30993j -48.4788-2.66065j 88.4896+8.08528j 43.5235-1.24865j -17.9474-1.6758j 35.8966+5.21632j 178.988+0.605624j -79.9802+0.270263j -72.5211+0.203719j 295.765+7.48049j -242.401+3.2868j -87.3673+0.104315j 611.173-6.29218j -1211.52+3.59095j 286.646-8.78818j -1465.15+2.16919j -1962.7+13.4378j 588.712-3.16452j -2455.24-5.32561j 1666.56-1.62923j -1053.97-4.01679j -2178.08+2.48461j -854.031+1.05174j 4774.24+5.07658j 3651.01+4.21609j -43.3852+1.69102j -1185.91-2.84724j -312.337+3.76268j 1481.15+0.163865j 5027.83+8.90405j 625.232-2.13821j -4327.96-13.6066j 107.404-3.00465j 3915.38+12.7903j -1407.72-4.24377j 380.275+4.88811j 3740.9+11.287j -347.223+3.16177j 5293.6+24.7302j -194.095-1.07974j 1174.65+11.434j 1297+5.08558j 365.916+2.84191j 2498.45+15.0751j -4730.23-27.7869j 752.606+7.43343j 2308.32+17.1341j 1384.25+5.17223j 1297.42+11.4238j -2345.19-9.96797j -205.367-4.3603j -1066.64-15.3475j -1760.1-19.7989j -163.41-9.90543j 1175.32+8.61811j 391.644+5.7145j 582.212+11.1381j 345.834-2.83312j -202.194-2.85836j 25.6755+1.67576j 
-4.61716+1.36403j 25.1383-7.90563j -15.7282+4.68501j -46.9541+27.8018j 16.8059-11.8421j -59.0927+43.8418j 12.9813-6.18308j -77.5658+77.2708j -15.4442+15.4532j -4.13689+6.24479j 62.7298-83.7224j 1.15884-2.17109j -52.1179+113.385j -3.23604+33.4702j 16.9581-83.8585j 11.2619-61.986j 0.682473-19.6527j -3.40851-52.3854j 0.105688+63.2522j 41.4927+160.504j 8.95164+35.7707j 48.0532+54.0744j 44.4436+75.0942j -19.9862+1.58651j -32.8744-61.3381j -65.4184-83.264j 81.9144+56.8235j 130.744+110.177j -4.58356-9.97412j 124.524+93.7581j 67.7328+39.1054j 119.788+66.2997j 33.9969+22.0202j -72.5911-16.8729j 133.656+56.9122j 67.4594-2.31532j -26.727-11.7518j 56.101+27.6168j 273.698+6.24109j -122.823-2.35176j -110.07+1.27556j 453.175+19.7104j -369.94+1.41771j -133.935-3.32636j 933.915+2.25851j -1852.85-16.6495j 436.972-9.62675j -2240.96-21.6643j -3000.65-11.769j 900.353+4.00252j -3755.16-46.1294j 2548.53+22.7626j -1612.12-21.8898j -3331.05-27.4293j -1306.58-10.0774j 7301.45+74.4994j 5582.84+57.7771j -65.7564+2.55637j -1813.89-19.4397j -477.192-0.657896j 2264.6+19.4183j 7689.53+76.1754j 956.328+4.26869j -6618.58-71.4153j 164.04-2.82173j 5988.13+62.9323j -2152.9-21.0823j 579.908+13.2706j 5722.79+56.0658j -530.636+3.54143j 8098.72+91.5741j -297.127-4.793j 1794.61+36.502j 1985.73+19.8415j 560.347+9.15619j 3823.85+47.617j -7235.62-79.4471j 1152.65+18.9754j 3533.92+44.6533j 2118.59+19.1316j 1985.35+30.2572j -3585.61-28.0562j -314.756-10.7582j -1628.32-38.3105j -2695.77-40.351j -249.477-20.3959j 1796.31+22.335j 602.036+9.38045j 892.114+19.3437j 527.883-5.91792j -310.17-3.41163j 40.1971+3.9861j 
-6.33671+1.64653j 34.6391-8.8723j -22.4029+5.11225j -66.0914+31.2766j 23.1121-13.8215j -82.6846+50.012j 18.6065-7.28384j -108.521+88.8855j -21.1891+17.6276j -5.97772+7.15773j 87.4835-96.0962j 1.64514-1.75092j -71.7865+129.291j -4.70538+37.9019j 23.6698-96.6457j 14.4512-71.6025j 0.565196-22.1347j -5.2541-60.8305j -0.191856+71.6076j 58.3276+184.003j 13.2645+41.0831j 67.6+62.3559j 62.8243+86.1851j -28.9418+1.4503j -46.2144-71.4369j -91.4086-95.4103j 114.071+65.4325j 182.433+127.327j -7.85547-10.5447j 174.388+108.509j 96.3046+45.7531j 168.832+77.5676j 48.6486+24.8323j -103.011-19.7909j 187.965+64.0418j 93.4415-2.83486j -37.3315-13.2193j 75.9933+32.3803j 382.188+6.91117j -171.665-2.35441j -154.913+0.601282j 631.64+24.1731j -517.013+3.09726j -185.939-1.78003j 1303.23-1.15965j -2584.69-16.172j 611.101-14.7453j -3125.63-22.3352j -4186.96-5.83354j 1255.76+2.87028j -5239.11-52.7665j 3556.22+23.8508j -2248.79-26.604j -4648.1-28.0583j -1822.39-8.72445j 10187+82.3732j 7790.02+63.9676j -91.5537+4.69443j -2531.08-22.7497j -665.689+2.1611j 3158.7+20.5485j 10728.7+84.6483j 1332.69+3.4221j -9234.82-82.891j 229.346-4.63063j 8353.47+73.6669j -3004.3-24.1887j 810.498+16.5226j 7983.9+64.7604j -740.077+4.94024j 11297.7+110.642j -414.353-5.99959j 2504.64+44.2446j 2770.14+22.9457j 781.531+11.9411j 5334.92+59.3141j -10095.1-97.6311j 1604.29+24.5619j 4929.95+57.2533j 2955.74+23.5111j 2771.38+38.9602j -5002.21-34.1701j -437.026-10.6443j -2273.18-50.4031j -3761.97-50.6388j -349.292-25.7653j 2506.28+28.123j 835.954+14.774j 1242.29+24.2806j 735.748-9.33181j -431.853-3.19804j 54.7113+3.65599j 
1.01627-0.570418j -5.96022+3.24982j 4.0883-1.90412j 11.1594-11.6923j -3.79093+5.19932j 14.0775-18.6465j -3.4162+2.93119j 18.6135-33.2256j 3.55758-6.59687j 0.899221-2.71172j -14.9534+35.8439j -0.420339+0.865419j 11.8013-48.3046j 0.482466-13.912j -3.75994+35.7568j -2.36063+26.3646j -0.0231997+8.08809j 1.21355+22.4243j -0.395312-26.5509j -10.3893-68.0533j -3.00027-15.0107j -12.1892-22.9301j -10.4265-31.8256j 5.31559-0.933225j 8.40256+25.5258j 16.3837+35.742j -20.5581-23.9098j -31.6916-46.4248j 1.87728+4.08043j -29.8955-38.976j -16.7467-16.4621j -30.3218-27.231j -6.05387-11.4181j 18.2613+8.22224j -33.1523-21.9773j -16.5594+0.501706j 6.52329+4.22046j -14.2978-12.0241j -66.5824-2.92157j 31.0366+0.690176j 26.6454-1.13618j -110.655-6.60909j 90.4048+0.0652342j 32.4379+1.32178j -227.879-2.94046j 451.893+8.82862j -106.95+1.69252j 546.467+10.747j 731.804+9.49431j -219.765-3.11552j 916.3+19.8499j -621.636-11.0897j 393.496+9.27964j 812.774+13.9841j 318.577+5.14708j -1781.7-32.8435j -1362.39-25.0121j 15.9504-0.93309j 443.188+8.3877j 116.683+1.4167j -552.755-8.95995j -1876.28-31.7032j -232.773-2.27537j 1615.27+28.4422j -39.5062+0.865547j -1461.13-24.6858j 525.697+7.33493j -142.031-4.15684j -1396.26-22.2336j 129.235-0.68413j -1976.44-34.0359j 71.6973+1.49328j -438.791-12.8248j -484.303-7.33261j -136.836-3.16232j -934.06-16.4473j 1766.55+27.6716j -280.534-6.94853j -862.827-15.166j -514.443-9.5407j -484.125-10.2898j 874.582+8.29989j 76.673+2.86497j 399.651+11.8092j 657.31+12.79j 61.015+5.83365j -439.126-5.79737j -146.654-3.38353j -218.091-5.89234j -129.344+2.4945j 75.974+0.871591j -9.58078-1.10704j 
