0.913348-0j 0.300965+0.0230134j -0.0713701+0.00860466j -0.0386618+0.0399226j -0.0870127+0.041263j 0.00614548+0.00464104j -0.0100639+0.00473922j -0.00654637-0.033512j 0.00919329-0.018984j -0.0302222-0.00969314j 0.0113807+0.0772755j 0.0163348+0.0175926j -0.0353888-0.00171215j 0.0601727-0.0111872j -0.00507779-0.00433176j -0.0170574-0.0323618j -0.00300782-0.00985847j 0.0127516+0.0689277j 0.0215918+0.0169439j 0.0193478+0.00824599j -0.0327406-0.0272797j -0.0104056+0.00258289j -0.00789119-0.0692175j -0.0153688+0.00353342j 
-0.00507779+0.00433176j -0.0836745-0.0206522j 0.0278548-0.00278331j -0.0266573-0.074838j 0.0288017-0.031503j 0.0979623+0.0479933j -0.0351398-0.213228j 0.00270198-0.00138214j -0.12226-0.0851471j 0.0498449+0.0821583j -0.0942848+0.0631195j -0.0425913+0.182675j 0.116298-0.00863962j -0.164569-0.153509j 0.143276+4.10783e-15j -0.0460644+0.0132049j -0.0499631+0.24821j 0.170548-0.18102j 0.0318193-0.0543956j 0.0647854+0.0113061j -0.166235-0.138905j -0.0814619-0.116634j -0.0154562-0.319861j 0.130895+0.116532j 
-0.0170574+0.0323618j 0.121512-0.0811523j -0.0117879+0.00143827j 0.15894-0.106472j 0.00531612+0.0365674j -0.0330333+0.0432032j -0.0443502+0.121192j 0.0934974-0.0102451j -0.0364547+0.0582032j -0.0120174+0.0438838j -0.0997687+0.0509088j -0.199926+0.0106374j -0.261042+0.013843j 0.342511-0.0228061j -0.0460644-0.0132049j -0.0131187-1.21431e-17j -0.0206442+0.0973735j 0.0614561-0.0350965j -0.117927+0.0747292j -0.0754687+0.0951979j 0.0139175-0.0432263j -0.00073656-0.0335406j -0.124993-0.0391967j 0.324355-0.0244824j 
-0.00300782+0.00985847j -0.0425227-0.064918j 0.0141543+0.0507158j -0.0434181+0.0460602j -0.0245759+0.0644564j 0.0178486+0.173812j -0.0145767+0.0241705j -0.106177+0.124093j -0.00448515+0.128904j 0.023326-0.0388149j 0.00463191-0.067894j 0.134828-0.0843346j -0.0300671-0.0666148j 0.0868438+0.0205358j -0.0499631-0.24821j -0.0206442-0.0973735j -0.0414779-1.22125e-15j 0.0888458-0.181956j 0.0300212+0.301797j 0.085643+0.402135j -0.0204005-0.0349692j -0.138496-0.0672462j 0.0305185+0.0251948j -0.132014-0.0785463j 
0.0127516-0.0689277j 0.0609417+0.149789j -0.00690353-0.0307125j 0.0312744+0.203359j 0.0767541-0.0737205j 0.0114758-0.121452j 0.041726-0.192793j 0.100812-0.202271j -0.0227402+0.0820231j 0.0300805+0.0996629j 0.0498905+0.0164102j -0.0857611-0.199206j 0.16777-0.223429j -0.172159+0.108961j 0.170548+0.18102j 0.0614561+0.0350965j 0.0888458+0.181956j -0.165186+5.13478e-16j -0.0704185+0.138608j 0.181446+0.150447j 0.0672228-0.0049226j 0.233976+0.0482552j -0.090633-0.00795491j 0.237905-0.0680114j 
0.0215918-0.0169439j -0.0130647+0.0315516j 0.01876-0.0819876j 0.0621563+0.0611193j 0.0458458-0.0161903j 0.0383571-0.0754115j -0.0833864-0.206542j 0.0512066+0.00548071j 0.102745-0.0458459j 0.0470152+0.010748j -0.0329757+0.132812j -0.181923+0.023461j -0.0233192-0.229988j -0.0925061-0.168047j 0.0318193+0.0543956j -0.117927-0.0747292j 0.0300212-0.301797j -0.0704185-0.138608j -0.463479+1.81105e-15j 0.042094+0.0349865j 0.0515372+0.0236728j -0.174922-0.033855j -0.227467-0.00559413j -0.301003+0.0134869j 
0.0193478-0.00824599j 0.00390133+0.00545959j 0.0121734-0.0433054j -0.00623974+0.0377791j 0.00282582+0.0202176j 0.00256159-0.0166547j 0.0212756-0.0801792j -0.00384977+0.0453755j -0.0203475-0.0252107j 0.00327744-0.0274809j -0.0189693+0.125805j 0.012393+0.0141784j 0.0767338-0.068001j -0.0421244-0.0754394j 0.0647854-0.0113061j -0.0754687-0.0951979j 0.085643-0.402135j 0.181446-0.150447j 0.042094-0.0349865j -0.014876-3.46945e-17j 0.580751+0.0145081j -0.236406-0.0412327j 0.082812+0.0124013j 0.12575-0.00800664j 
-0.0327406+0.0272797j 0.0529362-0.0751781j 0.0194288-0.0794368j 0.0897423-0.0648688j -0.00233601+0.0252885j -0.0564616+0.00568947j 0.00616442+0.0548667j 0.0492135-0.0145542j 0.0510703-0.00480473j -0.0121015+0.0319018j -0.0352859-0.0594244j -0.114863+0.0437601j -0.0180376-0.312038j 0.119123-0.177565j -0.166235+0.138905j 0.0139175+0.0432263j -0.0204005+0.0349692j 0.0672228+0.0049226j 0.0515372-0.0236728j 0.580751-0.0145081j 0.054134-1.31839e-16j 0.0897881+0.00845378j 0.146209-0.0269484j -0.113458+0.00593612j 
-0.0104056-0.00258289j 0.0858438-0.0182402j -0.0421062+0.0302869j 0.07115+0.0208546j -0.00240339+0.0112246j -0.202048+0.0970649j 0.145064-0.174636j 0.0792763-0.0566671j 0.0400891-0.0619548j -0.0116018+0.0440748j -0.00598772-0.0326715j -0.0498501-0.0577526j 0.0142536-0.0210854j -0.0947618+0.0767939j -0.0814619+0.116634j -0.00073656+0.0335406j -0.138496+0.0672462j 0.233976-0.0482552j -0.174922+0.033855j -0.236406+0.0412327j 0.0897881-0.00845378j 0.294608+1.04777e-15j 0.22058-0.0363481j -0.120938+0.00347127j 
-0.00789119+0.0692175j -0.0805232-0.233783j -0.0234469-0.00837056j -0.214636-0.191368j -0.116098+0.0965153j 0.0417541+0.330641j 0.0180816+0.147195j -0.210985+0.0773414j -0.108549+0.0431956j -0.0490363+0.0115915j 0.0655259+0.119259j 0.326303-0.0401536j -0.0640481-0.206004j 0.154961+0.0543753j -0.0154562+0.319861j -0.124993+0.0391967j 0.0305185-0.0251948j -0.090633+0.00795491j -0.227467+0.00559413j 0.082812-0.0124013j 0.146209+0.0269484j 0.22058+0.0363481j -0.112415+2.498e-16j 0.032364-0.00744542j 
-0.0153688-0.00353342j 0.0161871+0.0242209j -0.0485884-0.107798j -0.0928123+0.00167527j -0.0543584+0.00763867j -0.112902-0.221402j 0.0759955+0.285387j 0.0787482-0.0231665j -0.1587+0.103779j -0.0468267+0.0250669j 0.0454524-0.19924j 0.165621+0.0606189j 0.032415-0.301497j 0.0146444-0.247852j 0.130895-0.116532j 0.324355+0.0244824j -0.132014+0.0785463j 0.237905+0.0680114j -0.301003-0.0134869j 0.12575+0.00800664j -0.113458-0.00593612j -0.120938-0.00347127j 0.032364+0.00744542j 0.114855-2.77556e-17j 
