-0.143467-0.351162j 0.130128+0.839778j -0.239585-1.23367j 0.753777+1.94186j -0.587795-1.94063j 1.03586+5.20946j -0.792115-0.655425j 1.47654+6.55068j -1.7047-6.55145j 0.387073+1.41061j -2.18843-10.7301j 1.27933+5.1142j 1.19236+5.90857j 2.09917+9.76202j 0.757141+3.43344j 4.3051+20.2877j -2.95266-13.1544j -0.309208-1.21318j 1.00774+5.17794j 1.04383+4.47435j 0.815993+3.90864j 4.7571+22.3673j -0.167919-0.730116j 3.56953+16.8988j 0.222457+1.11346j 7.80246-14.6123j 6.78061-2.91653j 0.208902+0.742497j -3.67201-16.9888j 0.0370614+0.459477j 4.84969+22.1255j 0.840416+3.91918j -1.21989-4.45205j -1.34917-5.25752j 0.108311+1.21237j -3.21424-12.5844j 4.50362+19.5331j -0.782416-3.22769j 2.03205+9.02458j 1.2363+5.64856j 1.21621+4.82479j 1.54111+10.2245j 0.0085204+1.08286j 1.06925+6.5863j 0.770827+6.36943j 0.780263+0.850897j -0.774989-5.2209j -0.336467-1.45928j 0.889242+1.9696j 1.8167+2.44968j -0.449001-1.19068j 2.46882-1.85173j 
-0.168927-4.33758j -0.0767639+27.0753j 1.26454-46.4182j -0.246533+65.472j 0.351355-64.2919j -1.47104+163.027j -0.838342-25.425j -2.07756+206.016j 1.3359-211.978j -0.272317+46.3954j 4.40307-329.392j -1.89979+163.986j -2.41618+185.511j -3.39017+301.651j -1.16179+110.167j -8.50445+634.302j 5.94833-411.094j 0.281023-38.198j -2.36713+166.224j -2.06879+134.554j -1.78483+121.837j -10.0815+697.877j -0.384631-15.0375j -8.26436+530.973j 0.0114716+26.6612j 329.972-386.588j 217.774-36.3711j -0.993652+26.6179j 8.06508-531.207j -1.10374+15.4671j -11.7602+698.819j -1.99227+121.917j 3.12857-134.753j 2.16624-166.161j -0.979449+38.6357j 7.95587-411.795j -10.9863+635.141j 2.58935-111.012j -6.01065+302.083j -3.00132+185.882j -3.29638+164.535j -4.76977+329.659j -1.86085+46.8888j -5.43291+213.112j -3.8748+206.595j -1.05874+25.2552j 3.45421-163.039j 1.917-65.0421j -1.90796+66.2372j -1.4228+46.8162j -0.749496-28.2625j -0.748203+3.77241j 
0.888408+15.057j 0.259332-92.7608j -2.5665+161.46j -2.58601-226.512j 2.06083+221.211j -1.58659-561.989j 3.7657+87.8922j -2.01968-710.43j 5.68222+732.233j -1.49346-160.662j -1.77802+1134.27j -1.69678-565.212j 0.965581-639.445j -1.32471-1039.38j -0.925586-380.607j 1.69709-2185.63j -0.771783+1416.89j 0.581379+131.881j 1.52761-572.075j -1.79948-463.42j 0.744051-419.451j 3.72581-2404.05j 1.76711+52.8217j 6.00681-1827.9j -1.38234-91.4429j -1120.09+1344.36j -747.442+134.708j 2.01002-91.2046j -6.31379+1827.95j 2.29054-52.43j 12.5857-2404.27j 2.13031-419.596j -5.19344+464.1j -2.2868+572.349j 1.48834-131.984j -9.16121+1416.71j 12.9049-2185.89j -3.39448+379.929j 7.89971-1039.35j 3.24338-639.402j 5.20157-564.845j 5.24467-1134.7j 2.77294-160.848j 10.5851-731.851j 6.69888-709.786j 4.52473-88.8754j -6.42808+561.629j -3.55551+222.823j 4.17273-225.762j -2.42475-160.337j -2.68941+92.1952j 1.32653-14.1111j 
-0.233391-1.56994j 1.08769+6.81668j -0.887806-11.5468j 2.93329+17.0575j -2.57362-16.581j 5.16181+41.6891j -2.245-6.8521j 6.67236+52.7485j -8.19365-54.6045j 1.8089+11.6982j -9.0832-83.6883j 5.51694+42.0149j 5.2833+47.0841j 9.29026+76.771j 4.03835+28.1943j 18.4837+161.07j -12.6164-104.073j -1.41067-9.61507j 4.35081+42.3026j 5.36895+34.3882j 3.53993+30.7582j 19.8665+177.203j -1.15862-3.81408j 14.2837+134.341j 1.30886+7.03111j 71.8237-107.997j 53.812-15.5727j 0.867675+6.75447j -14.1108-134.402j 0.0887809+4.067j 17.8483+176.498j 3.17276+30.7605j -3.61672-33.754j -4.39962-41.9257j 0.953239+9.56708j -10.5294-104.062j 16.1672+160.633j -3.2382-27.9679j 7.94111+76.2091j 4.7344+47.0225j 4.76548+41.1481j 8.21787+82.5066j 0.897399+12.4837j 5.51637+53.6492j 4.68323+51.1415j 0.727263+8.10105j -3.39223-40.7102j -0.811063-16.3999j 0.752663+17.1889j 0.306996+12.0517j -0.809623-6.28593j -0.579059+0.83936j 
0.0783429+1.46059j -0.143484-8.45415j -0.28502+14.275j -0.396428-20.3272j 0.092036+19.7232j -0.0526474-50.5488j 0.394871+8.10367j 0.0617629-63.8394j 0.38252+65.6914j -0.13341-14.1026j -0.560152+102.238j -0.279795-50.854j 0.0140276-57.5632j 0.0900496-93.3098j -0.323835-34.0898j 0.377962-196.61j -0.262583+127.325j -0.25182+11.9328j 0.256978-51.6303j 0.345172-41.5919j 0.151204-37.7392j 0.884579-216.293j 0.00915553+4.25486j 0.741952-164.22j 0.294653-8.26277j -100.664+121.068j -67.287+11.9956j 0.24672-8.14703j -0.877384+164.458j 0.306518-4.61891j 1.57121-215.67j 0.1375-37.7472j -0.712625+41.7875j 0.00813134+51.1877j 0.433658-11.5649j -1.57287+127.885j 1.75688-196.546j -0.693168+34.6041j 0.780611-94.0457j 0.489012-57.6855j 0.562843-50.5669j 0.608697-102.987j 0.543193-13.5904j 0.546307-65.2841j 0.245955-63.6841j 0.72006-9.87021j -0.159544+50.5672j 2.17149+19.9669j 1.15657-20.2314j -0.758397-15.6984j -0.968246+7.74709j 0.0368415-0.476822j 
-0.891997-32.8332j -0.737866+200.87j 6.21197-349.066j 2.13413+490.27j -1.22145-478.747j -3.07584+1215.82j -6.34983-190.405j -4.53397+1537.18j -1.95874-1583.62j 0.316554+347.091j 16.2826-2455.26j -3.29224+1223.25j -9.1081+1383.56j -9.4353+2249.37j -3.25758+823.04j -28.6892+4729.68j 19.8784-3066.22j 0.233694-285.189j -8.47682+1238.26j -3.61866+1003.54j -6.16284+907.873j -36.253+5202.89j -1.83898-113.746j -32.7915+3956.47j 1.16578+197.666j 2438.59-2897.68j 1619.52-282.882j -5.44475+198.161j 32.8292-3956.22j -5.97102+113.835j -51.4172+5203.54j -9.58951+907.706j 17.3986-1004.54j 11.5797-1238.43j -4.61726+284.925j 35.0053-3066.73j -51.7609+4730.55j 12.541-824.34j -30.8496+2249.43j -14.1571+1384.29j -17.6103+1224.32j -23.0248+2456.38j -7.39106+346.974j -33.3444+1585.04j -21.1883+1537.8j -10.5731+190.883j 18.1129-1214.81j 9.26534-480.574j -12.0162+491.549j 1.92388+348.902j 2.57834-201.843j -2.0467+33.3062j 
0.202847+5.92079j 1.05044-38.1542j -2.00707+66.6628j 1.78241-93.1682j -1.35968+90.9286j 4.60883-231.278j -0.162939+35.8477j 5.75192-292.111j -5.65401+300.633j 1.00224-65.7805j -9.99048+467.26j 4.76624-232.89j 5.53512-263.482j 8.84272-428.229j 3.40444-156.388j 19.291-900.502j -13.3105+583.831j -0.824456+53.9142j 4.86681-235.783j 5.19984-191.067j 3.9241-172.686j 22.2015-990.236j -0.28008+21.5607j 17.1755-752.795j 0.507878-37.9856j -472.542+544.59j -309.453+49.0365j 2.02096-37.1359j -17.2196+753.268j 1.66883-21.9706j 24.3026-991.195j 4.61888-172.638j -6.77663+191.733j -5.47265+235.432j 1.53443-54.1306j -15.2327+584.214j 23.2881-901.662j -5.25791+157.17j 12.091-428.512j 6.10973-263.65j 6.57063-234.042j 9.80703-467.074j 0.920397-66.893j 11.2133-301.434j 8.31119-292.191j 3.92751-35.8622j -5.80245+231.531j -3.85785+91.7401j 2.92195-92.177j -0.0307415-66.9977j -0.705276+38.8168j 0.882192-6.56976j 
-0.933126-23.0555j 0.39223+142.067j 3.77314-246.873j 4.0299+347.243j -3.32471-339.209j 3.08118+860.643j -6.07373-135.044j 3.31761+1088.17j -9.30022-1121.25j 1.98741+245.605j 2.5169-1737.68j 2.85575+865.91j -1.13099+979.325j 2.28307+1591.73j 1.01569+582.557j -1.75169+3347.88j 1.0026-2170.45j -0.901595-202.311j -1.55639+876.505j 2.74374+710.564j -0.824657+642.849j -5.3384+3682.48j -2.30836-80.4479j -8.40335+2800.4j 1.90654+140.074j 1715.43-2059.96j 1144.88-206.495j -2.80066+140.384j 8.50405-2799.99j -3.35387+80.264j -16.9535+3682.63j -3.35941+642.522j 6.94888-711.078j 3.27052-875.741j -1.698+202.057j 12.6444-2169.73j -20.0537+3348.24j 5.48918-583.015j -12.3739+1591.2j -3.74009+979.09j -7.51966+865.785j -8.782+1738.44j -3.8609+246.088j -15.3221+1122.18j -11.953+1086.4j -6.99292+135.175j 7.10122-861.79j 5.95383-338.874j -7.18393+347.447j 1.89869+247.591j 2.27401-142.006j -1.19337+22.8389j 
-0.941975-35.4692j -1.25282+217.33j 7.27162-377.908j 0.518386+530.402j -0.143882-518.309j -5.98174+1316.09j -5.82354-205.498j -8.02138+1664.11j 1.88615-1713.97j -0.241227+375.647j 21.8308-2657.6j -6.4647+1324.01j -12.3219+1497.75j -14.9615+2434.24j -5.48755+891.14j -40.7205+5119.92j 27.7526-3318.83j 1.07747-308.893j -11.729+1340.6j -6.77531+1086.23j -8.13326+982.928j -49.9032+5631.88j -1.60982-123.086j -42.9079+4282.5j 0.318847+214.004j 2645.74-3131.76j 1753.82-303.187j -6.10712+213.623j 43.7159-4283.4j -6.8053+123.146j -66.5284+5633.92j -12.0734+982.709j 22.2897-1086.17j 14.4092-1340.78j -5.65484+309.5j 43.6078-3320.49j -64.3118+5121.63j 15.3182-892.971j -36.0889+2436.09j -16.6428+1498.42j -22.1576+1324.77j -29.9577+2658.08j -10.0853+376.74j -39.1806+1714.78j -27.7897+1664.64j -13.9563+206.414j 22.0266-1317.05j 11.3689-520.674j -13.9742+532.08j 1.61997+377.982j 3.83734-217.94j -2.95071+35.5854j 
-1.40116-49.4955j -1.12394+303.496j 9.36896-527.099j 3.15664+740.31j -1.67093-723.282j -4.89884+1835.91j -9.13245-287.652j -6.97849+2321.25j -2.59179-2391.73j 0.643737+523.831j 24.9065-3707.74j -5.3539+1847.8j -14.3697+2089.52j -14.7948+3396.59j -4.35957+1243.09j -44.3303+7143.32j 30.1033-4630.94j -0.00871277-430.937j -13.5654+1870.6j -5.08032+1515.16j -9.28404+1370.9j -55.0244+7857.72j -2.96554-170.718j -49.9308+5975.27j 1.40436+298.919j 3683.5-4375.39j 2445.65-426.541j -7.96366+298.929j 50.5283-5975.75j -8.5903+171.976j -79.9529+7859.48j -14.3717+1371.03j 26.9304-1515.99j 16.5255-1870.48j -7.29481+431.529j 53.5857-4632.49j -78.1154+7145.66j 19.618-1243.01j -45.6604+3398.47j -19.9822+2090.54j -28.1515+1849.37j -36.0235+3708.38j -10.5139+524.236j -50.4589+2393.85j -33.8287+2323.02j -17.5962+288.823j 27.1967-1837.38j 16.1624-723.311j -16.9319+741.28j 3.68209+526.792j 3.85261-303.307j -2.54097+48.5951j 
0.0880321+8.74567j 0.651946-53.1417j -2.00025+92.1913j 0.814123-129.37j -1.08907+126.405j 3.71113-320.921j 0.771547+50.2945j 4.76468-405.782j -3.71165+417.934j 0.921013-91.6907j -9.43835+648.473j 3.89017-322.896j 5.56748-365.47j 7.9897-593.933j 2.92461-217.357j 18.2292-1249.33j -12.3115+809.843j -0.55125+75.3004j 5.1301-327.486j 3.94308-265.223j 3.5738-239.851j 20.8949-1374.21j 0.254388+29.6416j 17.0445-1045.14j 0.0231287-51.9276j -650.003+760.408j -428.905+70.9041j 1.752-52.4168j -17.4108+1045.12j 2.01634-30.2153j 25.0095-1374.87j 4.68396-240.416j -7.77517+265.55j -5.46972+327.03j 1.95701-75.5003j -15.6418+810.901j 23.3193-1250.32j -5.87476+217.23j 12.6206-594.788j 8.04076-363.908j 7.99882-322.867j 9.96615-648.423j 2.85885-91.8901j 12.5858-420.075j 9.51012-405.422j 3.94141-50.4683j -6.53523+322.015j -4.08022+126.97j 4.43759-130.208j -0.633855-92.6929j -1.29502+53.3939j 0.820878-8.50424j 
