-0.020868-4.33681e-19j -0.0684106+0.0756564j 0.0738912+0.0714828j 0.004297-0.0291247j 0.00085055+0.0671318j 0.00356854+0.000853593j -0.00168383-0.0187506j 0.0111057-0.0577755j -0.0138716-0.0414865j 0.00357709+0.00875306j 0.0246135+0.0212107j -0.00261814+0.00856147j 0.0125853+0.00775184j -0.0281222-0.0241638j 0.006572-0.0222387j 0.00558829+0.017667j 0.0210475-0.000968044j 0.00357616-0.0171887j 0.00708441+0.0214398j -0.00186654+0.000158617j -0.0337926+0.015289j 0.00323242+0.0151733j 0.0209494-0.0212832j 0.00408452-0.00657243j 
-0.00261814-0.00856147j -0.00490793-0.0241356j 0.0202335-0.00894727j 0.00961823+0.0214456j -0.0164244+0.0408178j 0.0100267+0.0315396j 0.00924934+0.0410859j 0.0120539-0.000412937j 0.0103091+0.0993591j -0.00805973+0.0049574j 0.00646476+0.0103022j -0.054688+1.58207e-15j 0.00373916+0.00959025j 0.0262452+0.0611184j -0.153921+0.0174972j 0.02778-0.0151234j -0.0258271-0.0454675j 0.477591-0.111117j 0.0868357+0.023977j -0.221533+0.0588491j -0.0073527+0.0180243j -0.0412141+0.360501j 0.125322-0.117938j 0.355384-0.101789j 
0.0125853-0.00775184j -0.0500087-0.0201433j -0.0407276+0.049349j -0.00961717+0.032306j 0.00129631+0.055906j -0.039946-0.0197045j -0.102462-0.0151388j 0.0158149-0.0182037j -0.0252466+0.115j -0.00610983+0.029932j 0.0322614-0.0849642j 0.00373916-0.00959025j -0.00202936-2.5327e-14j 0.0163485-0.146728j 0.000877477-0.0271274j -0.0487234-0.00204653j -0.0144452-0.0141147j -0.0860135+0.0776166j -0.0774545+0.0588509j 0.0993745-0.00761347j 0.0403985+0.101096j -0.198899+0.0573924j -0.146514-0.0467269j -0.0651802-0.194878j 
-0.0281222+0.0241638j -0.0234542+0.00257798j 0.00401187-0.039801j 0.0220159+0.00055039j -0.0114918+0.0121417j 0.0157007+0.0456966j -0.0157554-0.00192568j 0.0240436+0.136315j 0.0122362-0.0307329j -0.056411+0.0109217j -0.072966-0.00937975j 0.0262452-0.0611184j 0.0163485+0.146728j -0.0362639+3.4972e-15j 0.156929-0.0482199j 0.372078-0.0156093j 0.0525414+0.0983997j -0.0141933+0.0229349j 0.0469511-0.120547j -0.00846597+0.153008j 0.0202328-0.675662j -0.0438062+0.0237777j 0.0998205-0.100623j -0.0415736-0.0201198j 
0.006572+0.0222387j 0.00722824+0.00775997j 2.00819e-05-0.000138177j 0.0240833+0.0200976j 0.0146126-0.00421295j 0.0294116+0.044515j 0.0224705+0.0257315j 0.01042-0.0408803j -0.0577603+0.0313708j -0.00528787+0.0164864j 0.00172571-0.00784083j -0.153921-0.0174972j 0.000877477+0.0271274j 0.156929+0.0482199j -0.429002+2.96985e-15j 0.131981-0.0501098j -0.187746+0.00355103j -0.138762+0.146974j 0.0993878-0.311019j -0.00183528+0.0366952j 0.193228-0.117168j 0.0299098+0.0048844j -0.325336+0.0587873j 0.0733808+0.0242325j 
0.00558829-0.017667j -0.00278205+0.0146612j 0.00119904-0.0246034j 0.0182736-0.0012651j 0.0188671-0.0226165j 0.00840999+0.0021368j 0.0190933+0.0336886j -0.0280427-0.00582658j -0.0868544-0.0426398j -0.00530925-0.0109919j 0.0423383+0.019233j 0.02778+0.0151234j -0.0487234+0.00204653j 0.372078+0.0156093j 0.131981+0.0501098j -0.0107347-6.93889e-16j -0.0420927+0.0246562j 0.279113+0.219052j -0.219287+0.13421j 0.101601-0.0784255j 0.0655477-0.0569447j -0.399187+0.0888536j -0.0722264+0.0739732j 7.2934e-05+0.0842485j 
0.0210475+0.000968044j 0.00190454+0.00149421j 0.00137667-0.0040698j 0.0196736-0.0372301j 0.0126639-0.0208848j 0.0572153+0.0279378j 0.0443611+0.0217523j -0.0259905+0.0286301j 0.0127062-0.0612502j 0.0208243-0.0557045j -0.0609365+0.162798j -0.0258271+0.0454675j -0.0144452+0.0141147j 0.0525414-0.0983997j -0.187746-0.00355103j -0.0420927-0.0246562j -0.103119+1.2865e-13j 0.0134932+0.029925j -0.157416+0.0143067j -0.00576654-0.0214213j 0.0812897+0.12324j 0.0413772+0.0682103j -0.0360928-0.132499j 0.0133346+0.0674153j 
0.00357616+0.0171887j -0.00708077-0.0167326j 0.0168079-0.0108611j -0.0275173-0.022695j 0.00223732+0.00641044j -0.0531782-0.0642305j -0.00269759+0.019274j -0.077639+0.0313481j 0.00669292-0.0277511j 0.0109855-0.0756845j 0.0259438-0.0610871j 0.477591+0.111117j -0.0860135-0.0776166j -0.0141933-0.0229349j -0.138762-0.146974j 0.279113-0.219052j 0.0134932-0.029925j -0.0543994-1.04083e-15j 0.131553+0.0380155j -0.0592979-0.0316278j 0.292653+0.0331531j -0.0820425-0.00127489j 0.0989351+0.00981873j -0.0300806+0.00548073j 
0.00708441-0.0214398j -0.00710799-0.02402j 0.0143496+0.0117162j -0.0277762-0.0110597j 0.0142501+0.0268436j -0.0267778-0.0425384j 0.000252722-0.021157j -0.0591073+0.0064479j 0.0897754+0.0398595j 0.061382-0.0317003j -0.38379-0.131246j 0.0868357-0.023977j -0.0774545-0.0588509j 0.0469511+0.120547j 0.0993878+0.311019j -0.219287-0.13421j -0.157416-0.0143067j 0.131553-0.0380155j -0.286809+1.03806e-14j -0.0619024+0.0445095j 0.180124+0.00801451j 0.192647-0.0376821j 0.0613822+0.00431014j -0.00299649-0.0339392j 
-0.00186654-0.000158617j -0.0279854-0.0187491j -0.0499919+0.00503395j 0.0595215-0.0514999j -0.00989934-0.00486179j 0.0993847+0.0641658j 0.0122572+0.0204013j -0.0281774+0.08463j 0.00766816-0.0416681j 0.0994295-0.186754j 0.079828-0.0461448j -0.221533-0.0588491j 0.0993745+0.00761347j -0.00846597-0.153008j -0.00183528-0.0366952j 0.101601+0.0784255j -0.00576654+0.0214213j -0.0592979+0.0316278j -0.0619024-0.0445095j 0.00645817+3.98986e-16j -0.000655605-0.123568j 0.00404058+0.0539673j -0.00454922-0.0859101j 0.017124+0.0466114j 
-0.0337926-0.015289j -0.0277648-0.0160307j 0.00537757-0.0088951j 0.0104959+0.0272313j -0.0192839+0.0948519j 0.023923+0.0239728j -0.0935425+0.0224699j 0.0375956+0.0114915j 0.0208317-0.0442946j 0.00177296-0.0097232j 0.167667-0.0908664j -0.0073527-0.0180243j 0.0403985-0.101096j 0.0202328+0.675662j 0.193228+0.117168j 0.0655477+0.0569447j 0.0812897-0.12324j 0.292653-0.0331531j 0.180124-0.00801451j -0.000655605+0.123568j -0.0256484+9.76996e-15j 0.000291128-0.0438361j -0.0475822-0.0375541j -0.052983+0.00487079j 
0.00323242-0.0151733j 0.0191846+0.0179309j -0.0335359+0.00752926j -0.0474327-0.0157392j 0.017683-0.0187263j -0.0472299+0.0342711j 0.0367598+0.0120497j 0.0331005+0.0541722j -0.0690765-0.037193j -0.373401-0.131236j -0.0113633-0.193517j -0.0412141-0.360501j -0.198899-0.0573924j -0.0438062-0.0237777j 0.0299098-0.0048844j -0.399187-0.0888536j 0.0413772-0.0682103j -0.0820425+0.00127489j 0.192647+0.0376821j 0.00404058-0.0539673j 0.000291128+0.0438361j -0.107468-8.88178e-16j -0.00210741+0.0224856j -0.00526604+0.00729582j 
0.0209494+0.0212832j -0.016656-0.0262662j 0.011957+0.00375333j -0.0506239+0.0910052j 0.0214659+0.0559621j -0.0878262+0.0138394j -0.0861026+0.0107049j 0.0290248+0.0189036j 0.0522366-0.0289847j -0.196404-0.00412276j -0.129187+0.642856j 0.125322+0.117938j -0.146514+0.0467269j 0.0998205+0.100623j -0.325336-0.0587873j -0.0722264-0.0739732j -0.0360928+0.132499j 0.0989351-0.00981873j 0.0613822-0.00431014j -0.00454922+0.0859101j -0.0475822+0.0375541j -0.00210741-0.0224856j 0.0307779-4.996e-16j -0.0537655-0.0116613j 
0.00408452+0.00657243j 0.022063-0.0358705j -0.00485279+0.0179746j -0.00762274-0.0733624j 0.00135087-0.0395629j 0.118724+0.000143021j 0.0582316-0.0137034j 0.0445702+0.0121079j -0.0707725+0.0116776j -0.138926+0.670101j -0.130838-0.0654802j 0.355384+0.101789j -0.0651802+0.194878j -0.0415736+0.0201198j 0.0733808-0.0242325j 7.2934e-05-0.0842485j 0.0133346-0.0674153j -0.0300806-0.00548073j -0.00299649+0.0339392j 0.017124-0.0466114j -0.052983-0.00487079j -0.00526604-0.00729582j -0.0537655+0.0116613j 0.0331313+4.44089e-16j 
