-0.020868-4.33681e-19j -0.0684106+0.0756564j 0.0738912+0.0714828j 0.004297-0.0291247j 0.00085055+0.0671318j 0.00356854+0.000853593j -0.00168383-0.0187506j 0.0111057-0.0577755j -0.0138716-0.0414865j 0.00357709+0.00875306j 0.0246135+0.0212107j -0.00261814+0.00856147j 0.0125853+0.00775184j -0.0281222-0.0241638j 0.006572-0.0222387j 0.00558829+0.017667j 0.0210475-0.000968044j 0.00357616-0.0171887j 0.00708441+0.0214398j -0.00186654+0.000158617j -0.0337926+0.015289j 0.00323242+0.0151733j 0.0209494-0.0212832j 0.00408452-0.00657243j 
-0.0684106-0.0756564j -0.505568+5.27356e-16j 0.0131468+0.502453j 0.00967675+0.0554601j -0.00304171+0.0222815j -0.0408852+0.0348991j -0.0400162+0.0340913j 0.00448927+0.00109384j 0.0401028+0.0161103j -0.0264979-0.0123528j -0.00528768-0.0248153j -0.00490793+0.0241356j -0.0500087+0.0201433j -0.0234542-0.00257798j 0.00722824-0.00775997j -0.00278205-0.0146612j 0.00190454-0.00149421j -0.00708077+0.0167326j -0.00710799+0.02402j -0.0279854+0.0187491j -0.0277648+0.0160307j 0.0191846-0.0179309j -0.016656+0.0262662j 0.022063+0.0358705j 
0.0738912-0.0714828j 0.0131468-0.502453j -0.477499+3.88578e-16j 0.0573051-0.0503907j 0.027807-0.0609606j 0.0291864+0.0897649j 0.0499716+0.0507791j -0.0761775-0.000316312j 0.0635564-0.0348815j 0.00408499+0.0338843j -0.00478032+0.0355437j 0.0202335+0.00894727j -0.0407276-0.049349j 0.00401187+0.039801j 2.00819e-05+0.000138177j 0.00119904+0.0246034j 0.00137667+0.0040698j 0.0168079+0.0108611j 0.0143496-0.0117162j -0.0499919-0.00503395j 0.00537757+0.0088951j -0.0335359-0.00752926j 0.011957-0.00375333j -0.00485279-0.0179746j 
0.004297+0.0291247j 0.00967675-0.0554601j 0.0573051+0.0503907j -0.124741+5.55112e-17j -0.0892495+0.0413816j -0.23489-0.0214244j -0.407748+0.0200726j 0.104608-0.0820038j 0.104895+0.657208j -0.0456419-0.00547879j 0.0366529+0.00565834j 0.00961823-0.0214456j -0.00961717-0.032306j 0.0220159-0.00055039j 0.0240833-0.0200976j 0.0182736+0.0012651j 0.0196736+0.0372301j -0.0275173+0.022695j -0.0277762+0.0110597j 0.0595215+0.0514999j 0.0104959-0.0272313j -0.0474327+0.0157392j -0.0506239-0.0910052j -0.00762274+0.0733624j 
0.00085055-0.0671318j -0.00304171-0.0222815j 0.027807+0.0609606j -0.0892495-0.0413816j 0.0872409+2.94764e-14j -0.400634-0.0581214j 0.249281-0.111104j -0.0237765-0.675058j -0.0617258-0.107713j -0.0159312+0.00456687j 0.0138094+0.0169631j -0.0164244-0.0408178j 0.00129631-0.055906j -0.0114918-0.0121417j 0.0146126+0.00421295j 0.0188671+0.0226165j 0.0126639+0.0208848j 0.00223732-0.00641044j 0.0142501-0.0268436j -0.00989934+0.00486179j -0.0192839-0.0948519j 0.017683+0.0187263j 0.0214659-0.0559621j 0.00135087+0.0395629j 
0.00356854-0.000853593j -0.0408852-0.0348991j 0.0291864-0.0897649j -0.23489+0.0214244j -0.400634+0.0581214j 0.0368558+2.85995e-14j 0.112731-0.0215964j 0.0478879-0.0325617j 0.444349-0.156097j -0.010827+0.0553532j 0.013132-0.0582061j 0.0100267-0.0315396j -0.039946+0.0197045j 0.0157007-0.0456966j 0.0294116-0.044515j 0.00840999-0.0021368j 0.0572153-0.0279378j -0.0531782+0.0642305j -0.0267778+0.0425384j 0.0993847-0.0641658j 0.023923-0.0239728j -0.0472299-0.0342711j -0.0878262-0.0138394j 0.118724-0.000143021j 
-0.00168383+0.0187506j -0.0400162-0.0340913j 0.0499716-0.0507791j -0.407748-0.0200726j 0.249281+0.111104j 0.112731+0.0215964j -0.150657-1.45248e-14j -0.441127+0.0488241j 0.00489618-0.0105329j 0.0318319+0.0697348j 0.0302035-0.00103292j 0.00924934-0.0410859j -0.102462+0.0151388j -0.0157554+0.00192568j 0.0224705-0.0257315j 0.0190933-0.0336886j 0.0443611-0.0217523j -0.00269759-0.019274j 0.000252722+0.021157j 0.0122572-0.0204013j -0.0935425-0.0224699j 0.0367598-0.0120497j -0.0861026-0.0107049j 0.0582316+0.0137034j 
0.0111057+0.0577755j 0.00448927-0.00109384j -0.0761775+0.000316312j 0.104608+0.0820038j -0.0237765+0.675058j 0.0478879+0.0325617j -0.441127-0.0488241j 0.121449-2.55906e-14j -0.0444485-0.0282891j -0.0225492+0.0249155j 0.0173191-0.0465034j 0.0120539+0.000412937j 0.0158149+0.0182037j 0.0240436-0.136315j 0.01042+0.0408803j -0.0280427+0.00582658j -0.0259905-0.0286301j -0.077639-0.0313481j -0.0591073-0.0064479j -0.0281774-0.08463j 0.0375956-0.0114915j 0.0331005-0.0541722j 0.0290248-0.0189036j 0.0445702-0.0121079j 
-0.0138716+0.0414865j 0.0401028-0.0161103j 0.0635564+0.0348815j 0.104895-0.657208j -0.0617258+0.107713j 0.444349+0.156097j 0.00489618+0.0105329j -0.0444485+0.0282891j 0.0483398+1.66533e-15j 0.0345509-0.0182235j -0.0304668+0.112608j 0.0103091-0.0993591j -0.0252466-0.115j 0.0122362+0.0307329j -0.0577603-0.0313708j -0.0868544+0.0426398j 0.0127062+0.0612502j 0.00669292+0.0277511j 0.0897754-0.0398595j 0.00766816+0.0416681j 0.0208317+0.0442946j -0.0690765+0.037193j 0.0522366+0.0289847j -0.0707725-0.0116776j 
0.00357709-0.00875306j -0.0264979+0.0123528j 0.00408499-0.0338843j -0.0456419+0.00547879j -0.0159312-0.00456687j -0.010827-0.0553532j 0.0318319-0.0697348j -0.0225492-0.0249155j 0.0345509+0.0182235j 0.0305491+1.38778e-15j -0.0402794-0.00775023j -0.00805973-0.0049574j -0.00610983-0.029932j -0.056411-0.0109217j -0.00528787-0.0164864j -0.00530925+0.0109919j 0.0208243+0.0557045j 0.0109855+0.0756845j 0.061382+0.0317003j 0.0994295+0.186754j 0.00177296+0.0097232j -0.373401+0.131236j -0.196404+0.00412276j -0.138926-0.670101j 
0.0246135-0.0212107j -0.00528768+0.0248153j -0.00478032-0.0355437j 0.0366529-0.00565834j 0.0138094-0.0169631j 0.013132+0.0582061j 0.0302035+0.00103292j 0.0173191+0.0465034j -0.0304668-0.112608j -0.0402794+0.00775023j 0.00815515+6.10623e-16j 0.00646476-0.0103022j 0.0322614+0.0849642j -0.072966+0.00937975j 0.00172571+0.00784083j 0.0423383-0.019233j -0.0609365-0.162798j 0.0259438+0.0610871j -0.38379+0.131246j 0.079828+0.0461448j 0.167667+0.0908664j -0.0113633+0.193517j -0.129187-0.642856j -0.130838+0.0654802j 
