0.97918-0j -0.0148654-0j 0.203964-0j -0.00857713-0j -0.00866601-0j 0.0713089-0j 0.0720478-0j 0.0180799-0j 0.0182673-0j -0.00606114-0j -0.00750027-0j 0.0475094-0j -0.00437516-0j -0.000618612-0j 0.0587899-0j 0.0120036-0j -0.000765493-0j 0.0342941-0j 0.00142208-0j -0.000446538-0j 0.0148537-0j 0.00866467-0j 0.00175974-0j 0.00102651-0j 
0.0475094-0j -0.000721261-0j 0.00989626-0j 0.0596237-0j 0.0602416-0j 0.00345987-0j 0.00349573-0j 0.00087723-0j 0.000886321-0j 0.000571793-0j -0.00036391-0j 0.642132-0j -0.000212281-0j 5.83584e-05-0j -0.408677-0j -0.00113239-0j -3.71414e-05-0j -0.238395-0j -0.000134156-0j -2.16658e-05-0j 0.000720696-0j 0.000420406-0j 8.53816e-05-0j 4.98059e-05-0j 
0.00437516-0j -0.00606212-0j -0.000874992-0j 0.00180239-0j 0.00160909-0j 0.000318621-0j 0.00028445-0j 2.65518e-05-0j 2.37042e-05-0j -0.243889-0j 0.585675-0j 0.000212281-0j -0.672843-0j 0.000129995-0j -0.000509771-0j 2.65351e-05-0j -0.00031217-0j 0.000585641-0j 1.5636e-06-0j 0.000358631-0j -6.37214e-05-0j 7.32051e-05-0j -3.75482e-06-0j 4.31365e-06-0j 
-0.000618612-0j 0.0844676-0j -6.37511e-05-0j -0.000254844-0j -0.000257485-0j 0.00861552-0j 0.0087048-0j -3.75421e-06-0j -3.79311e-06-0j 0.00035015-0j -0.000222848-0j 5.83584e-05-0j -0.000129995-0j 0.646658-0j -3.71414e-05-0j -0.00139507-0j -0.411557-0j -2.16658e-05-0j 4.2985e-07-0j -0.240075-0j 0.000887872-0j 0.000517925-0j -2.73572e-07-0j -1.59584e-07-0j 
-0.0587899-0j 1.76651e-05-0j -0.000242379-0j 0.0709509-0j 0.0715943-0j 0.00411717-0j 0.00415451-0j 0.00104388-0j 0.00105335-0j 0.00036391-0j -8.57103e-06-0j 0.408677-0j -0.000509771-0j 3.71414e-05-0j -0.0096254-0j -0.000720696-0j -8.74777e-07-0j -0.57248-0j -8.53816e-05-0j -5.20283e-05-0j 1.69743e-05-0j 0.00100956-0j 2.01096e-06-0j 0.000119604-0j 
-0.0120036-0j -0.00857586-0j 0.0575528-0j 5.20198e-05-0j 5.25589e-05-0j 0.0831512-0j 0.0840129-0j 0.0103869-0j 0.0104946-0j -7.14741e-05-0j 4.54888e-05-0j 0.00113239-0j 2.65351e-05-0j 0.00139507-0j -0.000720696-0j 0.626423-0j -0.000887872-0j -0.000420406-0j -0.00239534-0j -0.000517925-0j -0.398678-0j -0.232562-0j 0.00152448-0j 0.00088928-0j 
0.000765493-0j -0.00206877-0j 1.56139e-06-0j -0.000303259-0j -0.000306009-0j 0.0102523-0j 0.0103452-0j -4.46742e-06-0j -4.50794e-06-0j 0.000222848-0j -5.24866e-06-0j 3.71414e-05-0j -0.00031217-0j 0.411557-0j -8.74777e-07-0j -0.000887872-0j -0.00969324-0j -5.20283e-05-0j 2.73572e-07-0j -0.576516-0j 2.09117e-05-0j 0.00124374-0j -6.44334e-09-0j -3.83224e-07-0j 
0.0342941-0j 0.00101035-0j -0.0138628-0j 0.0430387-0j 0.0384229-0j 0.00249747-0j 0.00222962-0j 0.000633218-0j 0.000565307-0j -0.000212281-0j 0.000509771-0j -0.238395-0j -0.000585641-0j -2.16658e-05-0j 0.57248-0j 0.000420406-0j 5.20283e-05-0j -0.657684-0j 4.98059e-05-0j -5.97718e-05-0j -0.00100956-0j 0.00115982-0j -0.000119604-0j 0.000137405-0j 
0.00142208-0j -5.31259e-06-0j -0.0209334-0j -3.0653e-06-0j -3.09706e-06-0j 0.000103563-0j 0.000104636-0j 0.116356-0j 0.117561-0j 4.21165e-06-0j -2.68045e-06-0j -0.000134156-0j -1.5636e-06-0j 4.2985e-07-0j 8.53816e-05-0j 0.00239534-0j -2.73572e-07-0j 4.98059e-05-0j 0.606222-0j -1.59584e-07-0j -0.00152448-0j -0.00088928-0j -0.385822-0j -0.225063-0j 
-0.000446538-0j -0.118323-0j 8.93035e-05-0j -0.000183956-0j -0.000164227-0j 0.00621901-0j 0.00555204-0j -2.70993e-06-0j -2.4193e-06-0j -0.000129995-0j 0.00031217-0j -2.16658e-05-0j -0.000358631-0j -0.240075-0j 5.20283e-05-0j 0.000517925-0j 0.576516-0j -5.97718e-05-0j -1.59584e-07-0j -0.66232-0j -0.00124374-0j 0.00142885-0j 3.83224e-07-0j -4.40261e-07-0j 
0.0148537-0j 0.000210039-0j -0.00140958-0j 6.19024e-05-0j 6.24638e-05-0j 0.098948-0j 0.0998453-0j 0.0123602-0j 0.0124723-0j -4.54888e-05-0j 1.07138e-06-0j 0.000720696-0j 6.37214e-05-0j 0.000887872-0j -1.69743e-05-0j 0.398678-0j -2.09117e-05-0j -0.00100956-0j -0.00152448-0j -0.00124374-0j -0.00938992-0j -0.558475-0j 3.59055e-05-0j 0.00213551-0j 
-0.00866467-0j 0.0120132-0j -0.0806209-0j 3.75499e-05-0j 3.35228e-05-0j 0.0600217-0j 0.0535845-0j 0.00749767-0j 0.00669356-0j 2.65351e-05-0j -6.37214e-05-0j -0.000420406-0j 7.32051e-05-0j -0.000517925-0j 0.00100956-0j -0.232562-0j 0.00124374-0j -0.00115982-0j 0.00088928-0j -0.00142885-0j 0.558475-0j -0.641594-0j -0.00213551-0j 0.00245335-0j 
-0.00175974-0j 1.30116e-07-0j 0.0005127-0j -3.64764e-06-0j -3.68071e-06-0j 0.000123238-0j 0.000124355-0j 0.138461-0j 0.139716-0j 2.68045e-06-0j -6.31316e-08-0j -8.53816e-05-0j -3.75482e-06-0j 2.73572e-07-0j 2.01096e-06-0j 0.00152448-0j -6.44334e-09-0j 0.000119604-0j 0.385822-0j -3.83224e-07-0j -3.59055e-05-0j -0.00213551-0j -0.00908711-0j -0.540466-0j 
0.00102651-0j 7.44196e-06-0j 0.0293239-0j -2.21265e-06-0j -1.97535e-06-0j 7.47558e-05-0j 6.67385e-05-0j 0.0839899-0j 0.0749822-0j -1.5636e-06-0j 3.75482e-06-0j 4.98059e-05-0j -4.31365e-06-0j -1.59584e-07-0j -0.000119604-0j -0.00088928-0j 3.83224e-07-0j 0.000137405-0j -0.225063-0j -4.40261e-07-0j 0.00213551-0j -0.00245335-0j 0.540466-0j -0.620904-0j 
